,Review,Label
0,น่าเกลียดมาก มาก บริการเป็น bitchy bitchy ห้องส่งกลิ่น มีแมลงอยู่ ลูกพี่ลูกน้องมีโรคหัวใจจนกระทั่งหายใจถี่ ขอให้ย้ายไปคืนที่สองก็ไม่ได้รับ แม้ว่าจอง คืน เหตุผลเต็ม แม้ว่าจะว่างเปล่า แต่หลายคนเพิ่งจอง ทารุณ ซาดิสม์ ไม่มี trolly อยู่ ไม่มีพนักงานยกกระเป๋าที่ยกมันขึ้นมา เตรียมตัวให้พร้อมช้อปปิ้งมากมาย เตรียมพร้อมที่จะนำ ยกตัวเองเมื่ออยู่ที่นี่ ไม่มี ครั้งอยู่ที่นี่ นุ่นของต้นนุ่น ไม่แนะนำจริง,Negative
1,ใกล้ตลาดประตูน้ำ หากคุณต้องการซื้อสินค้าในตลาด pretunam เพียงแค่เดิน นี่เป็นครั้งที่สองที่เรามาอยู่ที่นี่,Positive
2,ไม่ดีมากไม่สะอาดห้องขี้เกียจพนักงาน,Negative
3,ตลาดที่ดีและใกล้กับห้างสรรพสินค้า,Positive
4,นอนหลับได้ดีเพียงแค่ต้องการเข้าไปในตรอกและรถตุ๊กตุ๊กพวกเขาไม่รู้ตำแหน่งของโรงแรมอย่างชัดเจน โรงแรมได้รับการทำความสะอาด ทำไมทุกครั้งที่เราต้องการออกไปช้อปปิ้งคีย์ห้องต้องทิ้งไว้ที่ล็อบบี้,Negative
5,อาคารเก่าเพราะเป็นโรงแรมระดับ ดาว wifi อยู่ที่ล็อบบี้ บริการรักษาบ้านเป็นสิ่งที่ดีมาก ห้องสำหรับสองคนมีผ้าเช็ดตัวและสบู่ แต่ไม่มีแชมพูและยาสีฟัน ห้องให้น้ำดื่มสำหรับ ท่านและให้เราขณะที่เรามีห้องแต่งหน้า แผนกต้อนรับส่วนหน้าเป็นเช่นนั้นเธอเอาใจใส่ผู้หญิงที่เคร่งขรึมนิดหน่อยเมื่อดิฉันให้คำถามที่น่าสนใจแก่เธอ แต่ลูกเรือคนอื่น ก็ดีและใจดีไม่ใช่ปัญหาใหญ่ ลูกเรือคนหนึ่งพาฉันไปที่ตลาดประตูน้ำโดยสามารถเดินได้ ราคาเป็นมูลค่ากับบริการ,Negative
6,การบริการที่ดีใกล้กับตลาดและตลาดประตูน้ำประตูน้ำห้างสรรพสินค้าแฟชั่น ถ้าคุณต้องการเพื่อให้พอดีกับการช้อปปิ้งที่นี่เพราะมีเครื่องชั่งน้ำหนักในโรงแรมของเธอ,Positive
7,จากการขึ้นมาเพื่อตรวจสอบคำพูดที่ดีมาก ห้องพักโอเคแม้ว่ามันจะต้องไปขึ้นบันได แต่ไม่มีน้ำร้อน อย่างไรก็ตามยอดเยี่ยม,Negative
8,โรงแรมสะอาดแผนที่ไม่เคยหายไป ผู้เป็นที่รักน่ารัก,Positive
9,แผนกต้อนรับส่วนหน้าอาจมีประโยชน์มาก แต่ฉันพักแค่ คืนเท่านั้น ห้องพักสะอาดแอร์ไม่เย็นดังนั้นอาจจำเป็นต้องบำรุงรักษา ส่วนที่เหลือก็โอเคสำหรับคนโสดเท่านั้นและสำหรับการนอนหลับเป็นเวลาหลายชั่วโมงเท่านั้น,Negative
10,ฉันพักอยู่ที่โรงแรมสยามสตาร์เป็นเวลา คืน สถานที่ตั้งของโรงแรมแห่งนี้ยอดเยี่ยม ใกล้ตลาดปิ่นทองตลาดนัดแฟชั่นพูลนัมสถานีรถบัสสถานีรถไฟฟ้าและเดินไปได้ไกล ฟรีของโรงแรมแห่งนี้คือเครื่องปรับอากาศเย็นแรงดันน้ำแรงจนสามารถวางกระเป๋าไว้บนตู้ได้หลังจากเช็คเอาท์ ข้อเสียเปรียบอยู่ในโรงแรมนี้คือ wifi บางครั้งไม่ทำงานได้ดีลิฟท์มีขนาดเล็กแสงของห้องมืดโดยอัตโนมัติไม่มีแชมพูและครีมให้ตั้งอยู่ที่ส่วนท้ายของถนน,Negative
11,โรงแรมที่เลวร้ายที่สุดในกรุงเทพ เจ้าหน้าที่จากพนักงานทุกคนเคารพมาก พนักงานทำความสะอาดสิ่งที่สูญเสียผู้เข้าชมมีอิสระที่จะถามแล้วเริ่มมองในถังขยะ สกุลเงินอาหารเช้าที่เกิดขึ้นคณะผู้แทนของเขาได้จ่ายเงินพิเศษที่สร้างขึ้น ครึ่งหนึ่งของราคาห้องพัก แต่ผมลงเช้ารับประทานอาหารเช้าปัญหาค่าใช้จ่ายเพิ่มเติม คนโดยไม่ต้องแจ้งให้ทราบล่วงหน้า จำนวนที่จะเห็นใจพนักงานโรงแรมไทยสูญเสียออก,Negative
12,นับเป็นครั้งที่เจ็ดในการเข้าพักที่โรงแรมสยามสตาร์ซึ่งเป็นช่วงเวลาที่สะดวกสบายในการผ่อนคลายความเหนื่อยล้า,Positive
13,สถานที่ที่ดี แต่พนักงานที่ไม่เป็นมิตร ห้องกลิ่นเหม็นและสกปรกอาหารเช้าไม่ดี,Negative
14,โดยทั่วไปดี พวกเขามีการต้อนรับที่อบอุ่นและพนักงานที่ดีสะอาดมากและความสะดวกสบาย คุ้มค่ากับราคา แต่น่าเสียดายที่ wifi ไม่แข็งแรงเกินไปให้ตัดการเชื่อมต่อบางครั้ง ฉันคิดว่า thats สิ่งเดียวที่โรงแรมแห่งนี้จะต้องมีการแก้ไข,Positive
