,Rating,Review_split
0,4.5,มาพักเป็นครั้งที่ แล้วค่ะ ประทับใจตั้งแต่ทำเลของโรงแรม การบริการ ห้องพัก ความสะอาด
1,5.0,บริการดี ประทับใจ เดินทางสะดวกครับ ใกล้แหล่งของกิน ใกล้รถไฟฟ้า มาพัก ครั้งแล้ว
2,3.7,การบริการดีและห้องสวยงามห้องน้ำสะอาดมีที่จอดรถใต้ดินสองชั้น
3,4.7,ทำเลโรงแรมดีมากค่ะ ห้องกว้างห้องน้ำก็กว้างสมราคา ทางเดินห้องอาจจะมืดไปหน่อย แต่ภายในห้องสวยค่ะไม่ได้แย่เลย พนักงานบริการดีพูดจาเพราะไม่เหวี่ยง ไปไหนสะดวกมาคนเดียวก็ไม่น่ากลัวค่ะ ใกล้สถานที่ คาเฟ่ ร้านอาหารต่าง ติดตรงเข้าพักคืนแรกที่นอนมีฝุ่นนิดหน่อย เหมือนไม่ได้ใช้งาน แต่คืนต่อไปแม่บ้านทำความสะอาดคือดีมากค่ะ ทุกอย่างสะอาดเอื่ยม แต่เสียดายสัญญาณเน็ตภายในโรงแรมไม่แรง นอกนั้นดีหมด
4,5.0,ห้องดีมากสะอาดห้องน้ำสะอาดแอร์เย็นฉ่ำพนักงานบริการดีติดรถไฟฟ้าbts
5,5.0,ห้องสะอาด แอร์เย็นไม่หนาวมาก อากาศปลอดกลิ่นบุหรี่ ปลอดภัย
6,5.0,ใกล้bts เดินไม่นานก็ถึง พนักงานบริการดี สะดวกสบายชอบมาก
7,5.0,ใช่บริการประจำห้องสะอาดเตียงนุ่มมีที่จอดรถ มีร้านอาหารเดินทางสะดวกใกล้บีทีเอส ️️️️️️️️️️️️️️️️️️️️️️️️️️️️️ชอบมากค่ะ ประทับใจจจจจจจ ️️️️️️️️️️️️
8,4.5,โดยรวมดีมากคะ ห้องสะอาด หองกว้าง เตียงนอนหลับสบาย แอร์เย็นการเดินทางมารรสะดวกและไม่ไกล แนะนำเลยคะว่าควรกลับมาพักอีก
9,3.7,อยากให้ขยายที่จอดรถเพิ่มขึ้น ที่จอดน้อยไป ทุกอย่างดี ยกเว้น ที่จอดรถ มีประโยชน์
10,5.0,โรงแรมดีมาก สะอาด พนักงานบริการดีทุกคน ใกล้bts เดินทางสะดวกมาก มีประโยชน์
11,5.0,โรงแรมดี ได้มาตรฐาน sha plus มั่นใจได้ว่า สะอาด สะดวก ปลอดภัย มีประโยชน์
12,4.5,ที่พักอยู่ใกล้ถนนใหญ่ เดินทางสะดวก มีประโยชน์
13,3.2,ห้องน้ำและผ้าเช็ดตัวเก่า ที่นอนและหมอนไม่นุ่ม มีประโยชน์
14,4.0,ห้องพักสะอาด พนักงานบริการดีค่ะ มีประโยชน์
15,5.0,ไม่ไกลจากร้านสะดวกซื้อ และ bts มีประโยชน์
16,5.0,พนักงานบริการดี ระบบรักษาความปลอดภัยที่ดี เดินทางสะดวกติดรถไฟฟ้าbtsสามารถเดินไปได้ มีประโยชน์
17,4.0,โรงแรมสะอาด เจ้าหน้า บริการดี เดินทางสะดวก มีประโยชน์
18,4.0,รร เดินทางสะดวก ใกล้บีทีเอส สถานที่ภายในห้องสะอาดดีค่ะ มีประโยชน์
19,4.5,ดีค่ะ ทำเลดีสะดวก มีประโยชน์
20,4.7,บริการค่อนข้างดี สะอาด มีประโยชน์
21,4.0,สถานที่ดีไกล้รถไฟฟ้าที่จอดรถพอเพียงร้านอาหาอร่อยแต่ราคาแอบแพง มีประโยชน์
22,3.5,ทุกอย่างโดยรวมดี ใกล้สถานที่ไปติดต่องาน เดินทางสะดวก ใกล้สถานีรถไฟฟ้า มีประโยชน์
23,4.5,เดินทางสะดวก มีประโยชน์
24,4.2,เป็นโรงแรม ที่เดินทางสะดวกใกล้รถไฟฟ้า bts สนามเป้า ห้องพักสะอาด พนักงานบริการดี มีบริการอาหารเช้าที่โรงแรม มีฟิตเนส มีสระว่ายน้ำ โดยรวมถือว่าดี คุ้มค่ากับเงินที่จ่ายไป มีประโยชน์
25,4.0,โดยรวมโอเคครับ มีประโยชน์
26,5.0,ประทับใจ มีประโยชน์
27,4.0,ดี ใกล้ bts สะดวกสบาย มีประโยชน์
28,4.0,ดี ดี ดี ดี ดี มีประโยชน์
29,5.0,สะอาดแล้วคุ้มค่า มีประโยชน์
30,4.0,สะดวก ดี มีประโยชน์
31,5.0,เยี่ยม มีประโยชน์
32,5.0,สะอาด ราคาถูก เสียงไม่รบกวน มีประโยชน์
33,5.0,ฟรีบัตรบีทีเอสหนึ่งใบ ทำเลดีใกล้บีทีเอสและเข้าถึงห้างสรรพสินค้ามากมายได้อย่างสม่ำเสมอ   
34,5.0,ที่ตั้ง เดินทางสะดวกมาก ใกล้โรงพยาบาลพญาไท และห้างสรรพสินค้าอื่น ห้องพัก สะอาดและสะดวกสบาย พนักงาน เป็นกันเองและมีความรับผิดชอบ ราคา ยอมรับได้   
35,4.5,ห้องพักมีขนาดเล็กและสะอาดเล็กน้อย แต่การคมนาคมสะดวก ใกล้สถานีรถไฟฟ้าใต้ดิน ห่างออกไปเพียงสองป้ายเท่านั้น เหมาะสำหรับนักธุรกิจที่เดินทางมาทำธุรกิจหรือทริปครอบครัว ฉันจะพิจารณากลับมาอีกในอนาคต   
36,4.7,โรงแรมมีทำเลที่ดีมากด้านหน้าและการทำความสะอาดก็เป็นมืออาชีพมาก   
37,3.2,โรงแรมนี้มีประโยชน์ใช้สอยและเรียบง่าย ใช่ ห้องพักมีสิ่งที่คุณต้องการ แต่มีขนาดเล็กมากและโรงแรมรู้สึกเหมือนเป็นโฮสเทลไม่ใช่โรงแรม มันเงียบและทำเลโอเค แต่ตอนนี้หลังโควิด มีโรงแรมที่ดีกว่านี้ออกมาในราคาเท่ากัน   
38,4.5,โรงแรมอยู่ใกล้สถานีรถไฟฟ้าถึงแม้จะไม่มี￼ร้านอาหาร￼อยู่รอบ แต่มีร้านสะดวกซื้ออยู่ริมถนน ห้องพักสะอาด สบาย และสิ่งแวดล้อมเงียบสงบ สามารถนั่ง bts ได้สองสถานี￼ สถานีรถไฟสนามบิน￼   
39,4.0,โรงแรมเรียบง่าย ตั้งอยู่ที่สถานีรถไฟฟ้า bts สถานีสนามเป้า มีลิฟต์ที่ทางออก และใช้เวลาเดินเพียง นาทีจากสถานี มี อยู่บริเวณใกล้เคียง แท็กซี่ทั่วไปและรถตุ๊กตุ๊กรู้ทาง ประมาณ บาทจาก สนามบินไปยังโรงแรม   
