,Review,Rating
0,มีอยู่วันนึงก่อนกลับบ้าน แบบว่าเพลินดี☺️ระหว่างรอผ้าที่ซักอยู่ มานั่งถักผ้าพันคอ ฟังเพลง มันเป็นมุมที่รีแล็กซ์จริง ๆ ...ด้านหน้ามองnature และด้านหลังก็มีน้ำพุน้อย ๆ ฟังเสียงน้ำ...ชอบ ๆ ได้ทั้งอาหารตา อาหารหู มันดีต่อใจจริง ๆ เรามาพักที่นี่ 2 สัปดาห์ การบริการพนักงานดีมากค่ะ สิ่งที่สังเกตหรือเห็นในทุกวันที่พักที่นี่คือ ความสะอาด ของพื้นในห้อง นอกห้อง ในห้องน้ำ ฯลฯ อยากบอกว่าสะอาดจริง ๆ ค่ะ เวลาเราขึ้นห้องพัก(เราพักแบบนอนรวมค่ะ) ถอดรองเท้าเดินได้สบายค่ะ จะไปอาบน้ำ หรือไปเข้าห้องน้ำ เราไม่ใส่รองเท้าเลยค่ะ เรื่องความสะอาดยกย่องให้เลยค่ะ แล้วก็เรื่องที่นอน มีการเปลี่ยนผ้าปู ปลอกหมอน ผ้าห่มและจัดเตียงให้สวยงามทุกวันค่ะ แม้จะมีคนพักต่อแบบเรา ...พนักงานก็เปลี่ยนให้ใหม่หมดในทุกวัน ชอบมากค่ะ บางโฮสเทลนะ ถ้ารู้ว่ามีการพักหลายวันแบบเรานะ จะไม่มีการเปลี่ยนอะไรบนที่นอนเลยค่ะ โอเคค่ะสำหรับที่นี่ ขอบอกเลยค่ะ...ผ่าน^^ สิ่งที่อยากให้แก้ไข คืออยากให้มีราวบันไดสำหรับชั้นแรกค่ะ เพื่อความปลอดภัยของลูกค้า บางคนอาจจะเดินลงมามากกว่า 1 คนเพื่อลงมาชั้นล่างโดยไม่ได้ระวัง มันเสี่ยงต่อการตกลงมาจากบันได,10.0
1,"โฮสเทลอยู่ในซอยพหลโยธิน 1 เป็นทางวันเวย์ ซอยค่อนข้างแคบ มีที่จอดรถให้ (ขับเลยโรงแรมไป 4 ห้อง เลี้ยวขวาเข้าซอย ที่จอดรถอยู่ทางด้านขวา) แต่ถ้ามาช่วงค่ำ อาจจะต้องโทรแจ้งโรงแรมให้เปิดประตูเข้าที่จอดรถให้ การเช็คอินและเช็คเอาท์ง่ายและรวดเร็ว ห้องนอนและห้องน้ำสะอาด มีไดร์เป่าผมให้ในห้องน้ำรวม แต่สามารถยืมเพื่อใช้ในห้องต่างหากได้ (เสียค่ามัดจำ 200 บาท) ในห้องไม่มีตู้เย็น, สำหรับผู้ที่พักห้องเดี่ยว จะมีอาหารเช้าเป็นอาหารตามสั่งให้ รอบโรงแรมหาของกินง่ายมาก และมีร้านสะดวกซื้ออยู่ใกล้โรงแรม การบริการของพนักงานดีมาก",9.2
2,เราเข้าพักที่นี่มา 2 สัปดาห์ เนื่องจากเราเกิดอุบัติเหตุที่บ้าน เลยทำให้ขาเจ็บ และไม่สามารถเดินทางไป-กลับบ้านได้ในช่วงนี้ เลยต้องมาพักที่ VM1 hotel เนื่องจากอยู่ใกล้ที่ทำงานเรา ตลอดที่พักที่นี่สะดวกสบายดีค่ะ ห้องพักมีการเปลี่ยนผ้าปูและผ้าห่มใหม่ทุกวัน ราคานี้มีอาหารเช้าด้วยค่ะ พนักงานพูดเพราะ และให้ข้อมูล สถานที่โดยรวมให้บรรยากาศรีแล็กซ์ดีค่ะทั้งข้างนอกและภายในโฮสเทลแห่งนี้ ธรรมชาติดีค่ะ มองแล้วสบายตา...โดยส่วนตัวชอบโฮสเทลแห่งนี้มากค่ะ,10.0
3,ที่พักใกล้อนุสาวรีย์ชัย ลักษณะ hostel แต่ไปพักห้องที่มีห้องน้ำส่วนตัว ราคาไม่แพงคุ้มค่า แต่ต้องเดินขึ้นบันไดสูงหน่อยเพราะอยู่ชั้น 4 ชั้นบนสุด ตัวห้องพักใช้ได้เลย มีผ้าเช็ดตัวกับไดร์เป่าผมให้พร้อม มีอาหารเช้าเป็นอาหารจานเดียวให้เลือก และชา กาแฟ ขนมปัง โดยรวมมาถ้าไม่ติดเรื่องต้องเดินขึ้นบันไดกับที่จอดรถ แนะนำเลย,9.6
4,ที่พักมีที่จอดรถ ด้านหลัง แต่รถวิ่งทางเดียว วนไปออกอนุสาวรีย์ และพหลโยธินได้ ที่พักดี พนักงานดีมาก มีอาหารเช้า ห้องเตียงสองชั้นมีความสูงดีค่ะ หักคะแนนอย่างเดียว บันไดขึ้นเตียงชั้นบนมันปีนยากไม่มีที่เกาะ และไม่มีที่กั้นกันตกที่ขอบเตียง โดยรวมชอบค่ะ จะมาพักอีก,9.2
5,พึ่งเข้าพักครั้งแรก ดีกว่าที่คิดไว้ค่ะ ที่พักเป็นแบบสไตส์ Loft ให้ความรู้สึกสบาย บรรยากาศดี เงียบสงบ ถึงแม้จะตั้งอยู่ใจกลางเมือง ใกล้ๆมีทั้งของกินและ 7-11 เดินทางสะดวกทั้งรถโดยสารและ BTS พนักงานบริการดีทุกคน ประทับใจเลยค่ะ หากมีโอกาสจะเข้่าพักอีกแน่นอนค่ะ,9.2
6,ที่พักสะอาด ใกล้ BTS สนามเป้า อนุสาวรีย์ชัย ใกล้ the season mall อาหารการกินแถวที่พักเยอะมาก ราคาไม่แพง ใกล้แหล่งท่องเที่ยว ราคาห้องพักไม่เเพง สะดวก สะอาด พนักงานให้บริการโอเคดีค่ะ,10.0
7,ห้องพักสวย บรรยากาศในโรงแรมดี สวยงาม คุ้มราคา อาหารเช้าเรียบๆ เดินทางสะดวกไม่ไกลจาก รถไฟฟ้า ท่จอดรถปลอดภัย ไฟในห้องน้อยไปนิด มุมห้องบางมุม มืด อาจจะเป็นแนวขึ้นอยู่กับความชอบมั่ง,8.8
8,เพิ่งเคยพักห้องรวมคนเดียวครั้งแรก พนักงานให้ความช่วยเหลือดีมากค่ะ ห้องพักรวมก็นอนสบาย เป็นสัดส่วน อยู่ไม่ไกลจากรถไฟฟ้าด้วย สะดวกมากๆ,10.0
9,โรงแรมอยู่ในซอยเล็ก แต่หาไม่ยาก ไม่มีที่จอดรถ ไม่เหมาะสำหรับผู้สูงอายุ เพราะขึ้นบันไดชันและสูง นอกนั้นดีหมด,9.6
