,Review,Rating
0,สะอาด อาหารเช้าดี บริการดี ราคาเหมาะสม อยู่ไม่ใกล้ไม่ไกล BTS ราชเทวี เดินเท้าได้,10.0
1,ที่พักทำเลดีมาก,10.0
2,ใกล้ bts เดินทางสะดวก มีร้านนวดร้านอาหารอีสานใกล้ ๆ โรงแรม มีที่จอดรถ แต่เพดานในห้องค่อนข้างต่ำ,8.8
3,.,10.0
4,เข้าพักช่วงโควิด ลดราคาถูก กลางเมือง,10.0
5,ห้องเก่าไปหน่อย อาหารเช้าไม่ค่อยหลากหลาย,8.8
6,ห้องสะอาด ไม่มีกลิ่นอับ น้ำแรง แอร์เย็น ไวไฟใช้ได้ เตียงแข็งไปหน่อย ไม่ค่อยได้ยินเสียงห้องอื่น แต่เสียงรถจากถนนดังมากทำให้นอนหลับยาก อาหารเช้าไม่ค่อยมีให้เลือก พัก 4 คืน ทานเหมือนเดิมทุกวัน ราคาห้องพักไม่แพง ใกล้บีทีเอสราชเทวี,9.6
7,สะอาด ปลอดภัย อาหารอร่อยด้วยค่ะ,10.0
8,พี่ๆพนักงานต้อนรับบริการดี น่ารักมากๆค่ะ ห้องพักดูดี สะอาด และเดินทางมาโรงแรมสะดวก ใกล้ BTS ไว้มีโอกาสจะมาพักอีกแน่นอนค่ะ,10.0
9,ห้องตรงปก ดีมาก ห้องกว้าง สะอาด ราคาไม่แพง ที่สำคัญไวฟายในห้องแรงมาก ถูกใจสุดๆ ❤️ เดินทางค่อนข้างสะดวกจากbtsราชเทวีไกลนิดนึงเกือบๆโลแต่สามารถเดินได้สบายมาก พนักงานบริการดีสุภาพใส่ใจลูกค้าดีเยี่ยม,10.0
10,เสียงรถดัง แต่ห้องสะอาด,8.4
11,พนักงานบริการดี ภายในห้องสะอาด สภาพห้องสบาย ที่ตั้งที่พักสะดวกในการเดินทาง อยากให้เพิ่มแอลกอฮอล์ภายในห้องพัก ห้องที่ได้พักประตูห้องน้ำมีช่องเป็นรอยกระจกแตก อาจจะเกิดอุบัติเหตุได้ อาหารเช้ามีแค่เมนูเดียว,7.6
12,รอบนี้ไปพักห้องน้ำมีกลิ่นเหม็นมากกกกก แจ้งพนักงาน ไป ยังดีที่พักงานแก้ไขให้ แต่ตอนเช้าก็เป็นอีก รอบกวนทางโรงแรมตรวจสอบระบบท่อระบายของทางโรงแรมด้วยค่ะ ... เพราะกลิ่นมันรบกวนมากๆเลย,9.2
13,นอนสามคืน แม่บ้านไม่เปลี่ยนผ้าปูที่นอนให้ใหม่และไม่มีการล้างห้องน้ำให้,6.8
14,บริการดี ประทับใจค่ะ,6.8
15,ห้องพักสะอาด พนักงานบริการดี อาหารเช้าอร่อย ที่จอดรถค่อนข้างน้อย ได้ห้องพักติดถนนจะมีเสียงรถรบกวน 9/10 โดยรวมถือว่าดีค๊าาา,8.4
16,ห้องค่อนข้างเก่า มีแมลงสาปตัวเล็กๆ แย่สุดคือห้องน้ำเหม็นมาก ประตูห้องน้ำเป็นกระจกเก็บกลิ่นไม่ได้เลย บอกแม่บ้านช่วยทำความสะอาดก็แค่มาเติมของเปลี่ยนผ้าแล้วก็ไป มีดีอยู่ที่ใกล้รถไฟฟ้า และตู้เย็นในห้องเย็นสะใจมาก,6.8
17,สะอาด ปลอดภัย มีอาหารเช้าพร้อม และอยู่กลางแหล่งของกินตลอด 24 ชั่วโมง หาของกินแถวใก้ลๆโรงแรมได้ตลอด ชอบมาก พักที่นี่,10.0
18,สะอาด ปลอดภัย อยู่ใจกลางแหล่งกิน มีอาหารเช้าพร้อม,10.0
19,ห้องเล็กหน่อย แต่ก็สะอาด และรู้สึกปลอดภัย มีพนักงานและเจ้าหน้าที่อยู่ตลอด 24ชั่วโมง ใกล้แหล่งกิน ใกล้เซ่เว่น และตลาดที่มีของกินตลอดคืน สรุปโดยรวมชอบ,10.0
20,เราพัก 4 คืน อาหารเช้าเป็นอาหารจานเดียว เมนูไก่ๆ เหมือนจะน่าเบื่อแต่ก็โอเค มีขนมปังและเครื่องดื่มต่างๆ ให้ แม่บ้านเข้ามาทำความสะอาดห้องให้ค่อนข้างบ่อย พร้อมกับเติมของที่จำเป็นต้องใช้ให้ ประทับใจมากๆ ค่ะ,10.0
21,สะอาด,8.0
22,สะอาดมาก,10.0
23,ใกล้รถไฟฟ้า มีร้านอาหารใกล้ๆ เดินทางสะดวก อาหารโรงแรมรสชาติดี,7.2
24,ที่จอดรถไม่ค่อยสะดวก เล้ก และต้องเลื่อนเข้าออกหากมีการจอดซ้อนคัน มีแค่ 2-3 ค้นที่จอดแบบไม่ซ้อนคัน,10.0
25,ที่จอดรถไม่สะดวก,9.6
26,พนักงานดูแลอาหารเช้า ที่ใส่แว่น แซงคิวไม่สนใจเลยทั้งที่เรามาก่อน พอมีนั้งท่องเที่ยวลงมารีบไปรับแล้วแซงคิวตัดหน้าไปเลย ไม่โอเคมากๆนั้งรอนาน บอกบุฟเฟต์อาหารเช้า แต่ถ้าขอเพิ่มต้องจ่ายเงิน แล้วบุฟเฟต์ยังไง งง ทำงานไม่ค่อยเป็นระบบ อาหารตัวเลือกน้อยมาก ทำอาหารไว้น้อยเกินไม่พอกับปริมาณลูกค้าทำให้ต้องรอทำเพิ่ม ห้องน้ำมีกระจกกั้นจริงแต่ไม่ใส่ยางข้างใต้กระจก น้ำก็ทะลักออกมาตอนอาบอยู่ดี ห้องไม่เก็บเสียง เตียงนุ่ม ส้วมไม่เหมาะกับผู้ชายเพราะหันหน้าหาห้องน้ำมีกระจกกั้นทำให้มีพื้นที่น้อยมาก ทำเลที่ตั้งดี สะดวกในการเดินทางในเมืองหลวง เตียงนุ่ม,7.2
