,index,Review,Rating
0,0,เป็นที่พักในเมืองที่ราคาไม่แพง ทำให้มีข้อเสียเยอะอยู่ เช่น ซอยแคบ ขับรถไม่เก่งจะลำบากหน่อย ที่จอดรถค่อนข้างพอดีคนในวันที่ไป ถ้าเต็มก็ไม่รู้จะไปจอดไหนนอกรร.ก็มีรถจอดเพียบ แม่บ้านทำความสะอาดไม่ค่อยใส่ใจ น้ำวันที่นอนคืนถัดๆไม่ได้เติมให้2ขวดเหมือนเดิม แต่เติมตามจำนวนที่ขาด หมวกคลุมผมหมด ไม่เติมอันใหม่ให้ เก็บผ้าของลูกค้าไปเพราะคิดว่าเป็นผ้าเช็ดตัว ทำให้เสียเวลาตามหากลับมา,7.6
1,1,เยี่ยมมากครับ,10.0
2,2,ไฟไม่ค่อยสว่าง Wifi ไม่ดีน่ารำคาญเพราะหลุดๆติดๆ เลยใช้เน็ตมือถือเอา ห้องไม่เก็บเสียง อาหารเช้ามีให้เลือกน้อยมาก อย่างน้อยน่าจะเพิ่มเมนูอาหารเสาร์-อาทิตย์ก็ยังดี ถ้าอยากให้ลูกค้าประทับใจและกลับมาอีก สถานที่ดีใกล้แหล่งช็อปปิ้งและชุมชน,6.0
3,3,น้ำไม่ค่อยไหลเท่าไหร่ ที่อ่างล้างหน้าก็น้ำเอ่อขึ้นมา ไฟในห้องไม่ค่อยสว่าง เคยไปพักที่สปิริตห้องดีมาก คิดว่าอันนี้เป็นเครือเดียวกันน่าจะดีเหมือนกัน รู้สึกผิดหวังกับห้องพักนิดหน่อย แต่พนักงานบริการดีมาก รอเช็คอินไม่นาน,7.2
4,4,สะอาดเงียบสงบสะดวก มีที่จอดรถ แนะนำค่ะ,9.2
5,5,โรงแรมใกล้แหล่งช๊อปปิ้ง,8.8
6,6,ครีมอาบน้ำไม่เติม และเหมือนผสมน้ำ ผ้าเช็ดตัวไม่ครบ จำนวนผู้เข้าพัก ห้องมีกลิ่นอับ และค่อนข้างสกปรก ทำเล ต้องสำหรับคนมีรถ มาพัก,2.0
7,7,พนักงานดูแลเอาใจใส่ดี ขอความช่วยเหลือก็ให้คำแนะนำ,8.8
8,8,ห้องทีี่ี่ี่ี่ี่ี่ี่ได้ไม่มีหน้าต่างรู้สึกอึดอัดบอกไม่ถูกขอเปลี่ยนห้องก็ไม่ได้อยู่ในซอยตอนกลางคืนค่อนข้างมืด แต่ใกล้สถานีรถไฟราชปรารภ้้้้เดินสิบนาที,5.2
9,9,พนักงานน่ารัก ยิ้มแย้ม,10.0
10,10,1.เกิดความผิดพลาดจากระบบทำให้ได้ห้องผิด Type และไม่มีห้องว่างที่เปลี่ยนหรือUpgradeได้ จองเตียงใหญ่ได้เตียงคู่ จอง Superior double room ได้ Superior Twin 2.จองห้อง3คนแต่ได้ของไม่ครบ เช่น ผ้าขนหนู หมอนแค่2ท่าน 3.เปิดห้องเข้าไปได้กลิ่นของความไม่สะอาด มีฝุ่น จามตลอดเวลา ระหว่างเตียงมีฝุ่นและเส้นผมผู้หญิงยาวๆ รอบเตียง เมื่อเลื่อนเตียงเข้าหากัน ถึงกับช็อค มีเศษขยะพลาสติก ซองมาม่า ขน...... ผงฝุ่น ค่อนข้างเยอะ แสดงถึงว่าการทำความสะอาดที่ไม่ทุกซอกทุกมุม ทำให้ไม่มั่นใจแม้กระทั่งผ้าปูที่นอน ผ้าห่อม กับหมอนที่มีกลิ่นว่าได้ทำการเปลี่ยนหรือใช้ซ้ำ 4.ห้องอยู่ใต้คานเสา มีเสาขวางกลางลำเตียง อึดอัดมากครับ เหมือนห้องที่เหลือและเป็นภาคบังคับหรือเป็นห้องฉุกเฉิน 5.อ่างล้างหน้าน้ำล้างไหลลงระบายช้ามากครับ 6.ห้องไม่กันเสียงเลยครับ 7.ข้างบนเพดานเหมือนมีคนวิ่งหรือเดินตลอดเวลา มีเสียงผู้หญิงแก่พูดบ่นทั้งคืน 8.นอนไม่หลับเพราะความกังวลทุกอย่าง อยากเปลี่ยนโรงแรม แต่ดึกมากแล้วหาใกล้ๆเต็มหมดแล้ว ถึงแม้ราคาห้องพักไม่สูงมาก แต่ควรใส่ใจเรื่องความสะอาด ซึ่งความสะอาดไม่ขึ้นกับราคาห้อง มันคือมาตรฐานขั้นพื้นฐานง่ายสุดของงานโรงแรมนะครับ เป็นการพักที่ Fail ที่สุดตั้งแต่จองพักโรงแรมมา เจอความไม่ประทับใจด่านแรกข้อ1 แล้ว ต้องมาเจอข้อ 2-7 อีก ไม่แน่ใจว่าเน้นบริการเฉพาะชาวต่างชาติหรือไม่ ห้องดีๆไว้สำหรับต่างชาติหรือไม่ (ผมจะไม่แนะเพื่อต่างชชาติมาที่นี่เลยครับ) อยากให้โรงแรมมีทักษะในการแก้ปัญหาทีดีกว่านี้ หรือการแก้ปัญหาเฉพาะหน้ากับลูกค้าที่ดีกว่า เพื่อดึงความรู้สึกลูกค้ากลับมา สำหรับคะแนนที่ให้นี้จะเป็นเรื่องทำเลและพนักงานที่อย่างน้อยยังขึ้นมาดูและมาขอโทษ,3.6
11,11,"เตียงนุ่มมากกกกก เราจองแบบ Deluxe King size Bed ไม่อยากลุกจากที่นอนเลยค่ะ ใกล้แหล่งช็อป เดินลัดเลาะแป๊บเดียว พนักงานFrontพูดจาดีบริการสุภาพมากค่ะ แนะนำเลยนะคะ So Good, I really Recommend!!!!",8.8
12,12,น้ำไหลน้อยมากควรเปลี่ยนฟังบัว ห้องไม่ได้สะอาดอย่างที่คิดเอาปลายนิ้วแตะพื้นยังมีฝุ่นติดมือ พนักบริการดี เข้าก่อนเวลาเข้าพัก แต่ต้องจ่ายเต็มวันไม่มีจ่ายรายชั่วโมง ห้องไม่เก็บเสียง โทรศัพท์แทบจะไม่มีช่องที่รู้จักให้ดู,6.0
13,13,ที่พักสะอาดมาก อาหารรสชาติอร่อยทุกรายการ การให้บริการดีเยี่ยม แนะนำให้พักค่ะ ดีกว่าโรงแรมห้าดาวหรือสี่ดาวหลายแห่งในบริเวณใกล้เคียงกัน ราคาถูกกว่ามาก มีบริการรถไปส่งฟรีให้ด้วยค่ะ บรรยากาศดี ห้องเป็นสัดส่วนที่ลงตัว ชอบมากค่ะ ผู้จัดการอัธยาศัยดีและดูแลลูกค้าดีมากมากค่ะ ไปกรุงเทพฯ ครั้งต่อไป ไปพักอีกแน่นอนค่ะ,10.0
14,14,พักชั่วคราว ห้องดีเกินราคาที่จ่าย เพราะมันถูกมาก เป็น รร เล็ก ๆ ที่ faciltiy จำกัด ไม่มีไรมาก เหมาะกับการพักระยะสั้น,6.4
15,15,อยู่ในซอยเงียบมากค่ะ เหมาะสำหรับคนที่ไม่ชอบเสียงรถหรือความวุ่นวาย,10.0
16,16,ไม่เหมาะกับผู้หญิงเดินทางคนเดียว,9.2
17,17,โรงแรมให้ไปพักอีกโรงแรมข้างๆ โรงแรมใหม่ สะอาดดีใช้ได้ แต่แอร์ไม่เย็นเลย,8.0
18,18,-,7.6
19,19,โรงแรมตั้งอยู่ไกลจากปากซอย มีสิ่งอำนวยความสะดวกทุกอย่าง ยกเว้นราวตากผ้าที่ระเบียงที่ไม่มี ถือว่าคุ้มค่าคุ้มราคา,8.4
20,20,เป็นที่พักที่มีสิ่งอำนวยความสะดวกพร้อม แต่ไม่มีราวตากผ้าที่ระเบียง จากหน้าซอยมาจนถึงที่พักไกลไปหน่อย,8.8
21,21,สะอาด มีที่จอดรถ แต่ห้องชั้นล่างห้องแรกเหม็นบุหรี่มากๆ รบกวนปรับปรุงด้วยนะคะ,10.0
22,22,ห้องพักคุ้มค่ากับราคา พนักงานดูแลและบริการดี,10.0
23,23,ห้องดีสะอาดสมราคา,8.0
24,24,ได้พักอีกตึกนึง ซึ่งห้องดีกว่า เเละ การบริการก็ดี เเต่ว่า การจองทั้ง 2 ครั้งเเบบนาทีสุดท้าย ข้อมูลมาไม่ถึงโรงเเรม จริงๆ จะดีกว่ามาก ถ้าไม่ต้องให้ลูกค้ารอ คือ ให้ขึ้นห้อง ก่อนเพราะ ลูกค้ามีใบจองมาชัดเจนเเล้ว นี่คือ รอ 30 นาที สำหรับการเชคอิน ..... ห้องพัก สวย สะอาด ห้องน้ำ ดี มีสบู่เหลว ปรับระบบการ check in ใหม่ ก็จะดีกว่านี้,8.0
25,25,ทางจะมึดนิดหน่อยตอนดึกแต่ไม่/ด้เป็นปัญหาสำหรับคนมีรถส่วนตัวสามรรถเข้าtaxiได้,7.6
26,26,ใกล้ตลาดประตูน้ำ สามารถเดินไปได้เลย แค่ 500 เมตร ที่พักสะอาดมากกก ครับ,10.0
27,27,พนักงานเลยเสิร์ฟแค่ข้าวผัด ไม่มีผลไม้ ไม่มีขนมอะไรเลย,6.8
28,28,ตอนที่เข้าพัก เนื่องจาก โรวแรมปิดปรับปรุง โรงแรมจึงให้พักที่โรงแรม สปิตเซ่แทน ได้อัพเกรดห้องใหญ่กว่าเดิม ส่วนอาหารเช้า ธรรมดาไปหน่อย ไม่คุ้มกับเงินที่เสียไป แต่ทุกอย่างโอเคครับ ถ้ามีโอกาสก็จะเป็นหนึ่งในตัวเลือกในการเข้าพัก เวลาเดินทางมากรุงเทพ,7.2
29,29,เข้าซอยยาก แต่ที่พักโอเค สมราคา ยกเว้นตอนเช้าพนักงานทำความสะอาด ไม่เคาะห้องลูกค้า ลูกค้าล๊อกประตู กำลังนอนเปลือยอยู่เปิดพรวดพลาดไขประตูเข้ามา เป็นเรื่องไม่สมควรอย่างยิ่ง ขาดความระมัดระวังอย่างร้ายแรง,4.8
30,30,จองที่คิวบิกแต่ได้ไปพักที่โรงแรมสปิตเซ่ และไม่มีการแจ้งลูกค้าล่วงหน้า ต้องเสียเวลาวนรถหาโรงแรม พนักงานบริการดี ห้องพักไม่ค่อยสะอาด ในห้องน้ำสกปรกมาก แอร์ไม่เย็น ห้องเล็กกว่าให้รูป,4.0
31,31,ห้องไม่เก็บเสียงค่ะ ได้ยินแม้กระทั่งเสียงคนข้างนอกเดินไปมา เสียงคุยหยอกล้อกัน ห้องไม่สะอาด มีฝุ่น เห็นได้ชัดว่าแม่บ้านทำความสะอาดไม่ดีทั้งพื้นห้อง ทั้งความสะอาดของที่นอน มีแมลงบนเตียง เราโดนกัดตื่นมาเช้าเป็นตุ่มค่ะ ไม่แนะนำสำหรับคนที่ต้องการพักผ่อนและรักความสะอาด ความสะอาดที่นี่ไม่ผ่านมาตรฐานเมื่อเปรียบเทียบกับโรงแรมทั่วไปค่ะ,4.0
32,32,ห้องไม่เก็บเสียง มีเสียงดังตลอดจากห้องข้างๆตอนกลางคืนทำให้ตื่นบ่อย ผ้าขนหนูมีกลิ่นเหม็นอับ,6.4
33,33,ที่พักมีอุปกรณ์ของใช้ให้ครบในราคาที่เหมาะสมไม่แพง ห้องไม่แคบไป แต่แอร์มีเสียงดังและไม่ค่อยเย็น มีกลิ่นห้องน้ำออกมาแรงมากอย่างอื่นดีหมดค่ะ,8.4
34,34,พักอยู่ชั้น 7 เสียงจากชั้น 8 ดังตลอดเป็นช่วงๆ หากสามารถแก้ไขได้จะดีมาก อย่างอื่นโดยรวมดีมาก,10.0
35,35,มาพักที่นี่ ครั้งนี้ ครั้งที่3 แล้ว ครั้งนี้ไม่ประทับใจเลยทั้งการบริการของพนักงาน เพราะเราจองห้องพักล่วงหน้า แต่เรามาถึงบอกเราว่าห้องที่เราจองไม่ได้นะ แล้วเราก็ถามว่าทำไมไม่ได้ เพราะมาพักที่นี่ประจำ สุดท้ายแล้ว พนักงานก็มีห้องแบบที่เราจอง แต่ทำไมตอนแรกถึงบอกว่าไม่ได้ และเรื่องห้องพัก เราพักทั้งหมด 4 วัน ไม่มีการเปลี่ยนผ้าปูที่นอนให้เราเลย (ที่ทราบเนื่องจากผ้าปูที่นอนมีรอยตำหนิอยู่ แล้วก็เป็นแบบนี้ทุกวัน) และห้องไม่เก็บเสียง เสียงคนเดิน คนปิดประตูเสียงดังมาก นอนไม่หลับเลย แต่ลุงรปภ.และพี่พนักงานผู้ชายตัวเล็กๆผอมๆผิวคล้ำ ดูแลลูกค้าดีมากค่ะ,5.2
36,36,ถึงจอยู่ในซอยแต่มีรถบริการดีมาก,8.8
37,37,เสียงดังมากทั้งคืน ห้องไม่เก็บเสียงเลย เสียงจากข้างนอกเข้ามานอนไม่หลับ,2.4
38,38,เราไปพักวันที่16-18/2/63 โดยช่วงเย็นวันที่17ได้แจ้งกับพนักงานโรงแรมว่าในช่วงตีสองของวันที่ 18 จะนำรถเข้ามาจอดจำนวนหนึ่งคันซึ่งทางพนักงานก็คอนเฟิร์มว่าจัดการให้ เมื่อถึงเวลาช่วงตีสองมีฝนตก เรานำรถเข้ามาจอดทางรปภ.ด้านหน้าแจ้งว่าไม่มีที่จอดรถ มันเต็มแล้วทางเราจึงเข้าไปติดต่อที่แผนกต้อนรับแผนกต้อนรับจึงแจ้งรปภ.ด้านหน้าให้เตรียมสถานที่จอดให้ขนาดเดินมา รปภ. พูดว่า “มาแม่งอะไรกันตอนนี้วะ ฝนก็ตกมีปัญหาฉิบหาย” พอเค้าเดินไปถึงที่รถของเราก็ให้เราบอกแฟนเราว่า “ให้ไปจอดตรงโน้นมาจอดอะไรตรงนี้อะไรกันนักหนาวะ “ และมีอีกหลายคำที่ฟังไม่ทัน นี่คือคำพูดของพนักงานใช่ไหม ซึ่งเราบอกเลยว่าไม่เคยเจอที่ไหนมาก่อนไปพักมาหลายที่ก็ไม่เคยเจอใครที่มีกิริยาเช่นนี้เลยจริงๆ รับไม่ได้ค่ะ,8.0
39,39,ห้องพักสะอาด ราคาที่พักไม่แพง อยู่ใจกลางเมือง มีรถกอล์ฟบริการส่งที่ถนนใหญ่ แต่สภาพแวดล้อมค่อนข้างแออัด เพราะอยู่ใจกลางเมือง ห้องน้ำสะอาดใช้ได้อยู่ โดยรวมถือว่าโอเค กลับไปพักอีกได้,7.6
40,40,ข้อดี ใจกลางเมือง ข้อเสียเดินเข้ามาเพชรบุรี13ไกลสักนิดค่ะ,8.0
41,41,ห้องพักสะอาด ห้องน้ำกว้างขวาง กาแฟและน้ำดื่มกินได้ฟรี มีกาต้มน้ำร้อน ใกล้แหล่ง Shopping แพทตินั่มสะดวกมาก มีรถตุ๊กตุ๊กของโรงแรมบริการออกจากซอย แต่ห้องไม่เก็บเสียงได้ยินเสียงนักท่องเที่ยวชาวจีนทะเลาะกัน,9.6
42,42,ทำความสะอาดดีมาก,4.8
43,43,จองที่พักเมื่อเข้าพักได้รับการอัพเกตห้องพักเป็นห้องใหญ่ขึ้นไม่มีค่าใช้จ่าย ที่พักสะอาด สิ่งอำนวยความสะดวกครบครัน ไดร์เป่าผม ตู้เซฟ เครื่องทำน้ำอุ่น บริการรับส่งจากโรงแรม ทำเลที่ตั้งใกล้ ประตูน้ำ สยาม ราคาคุ้มค่า,10.0
44,44,ที่พักสะอาด พี่พนักงานบริการดี เดินทางสะดวก มีรถรับส่งด้วย,10.0
45,45,นอนไม่หลับเลยค่ะ เสียงเล็ดเข้ามาในห้องเสียงดังมาก,10.0
46,46,เช็คอินก่อนก็ไม่ได้ ไปเวลา 13.00กว่าๆ พนักงานบอกต้องรอ 14.00 เท่านั้น รถตุ๊กๆไม่ต้องหวัง รอเป็นครึ่งชั่วโมงก็ยังไม่มาสุดท้ายต้องเดิน ได้ห้อง 705 แอร์เสีย เสียงดังมาก เลยขอย้ายห้องพนักงานก็ให้ย้ายมาห้อง 205 หนักยิ่งกว่าเดิมนอนไม่ได้ทั้งคืน เสียงคอมมิเนเตอร์แอร์ดังมาก ซ้ำหนักคือเสียงพัดลมห้องครัวดังแบบจนพื้นสะเทือน ไม่ต้องหลับต้องนอน โทรไปหาพนักงานพนักงานขอโทษ แต่ช่วยอะไรไม่ได้ เหมือนพนักงานรู้อยู่แล้วว่าห้องนี้เสียงดังแต่ก็ยังให้เรามาอยู่ อาหารห่วย ของถูกๆ ที่พักอยู่ในรู ไม่มาอีกแน่นอน,2.8
47,47,ห้องไม่เก็บเสียง ได้ยินทุกอย่าง รำคาญมาก แต่พนักงานบริการดี,6.8
48,48,พนักงานบริการดี ห้องสะอาด,10.0
