,index,Review,Rating
0,0,ห้องพักมีสิ่งอำนวยความสะดวกครบ ห้องกว้างและสะอาด ไป รฟฟ สะดวก ไม่ไกล อยู่ในย่านที่มีอาหารขายมากมาย,9.2
1,1,ความสะอาดดีค่ะติดตรงห้องไม่ค่อยเก็บเสียงจะได้ยินเสียงรถผ่านไปผ่านมานอนไม่ค่อยหลับ,8.4
2,2,สะอาด,10.0
3,3,ทำเลที่ตั้งดี ห้องกว้างดีค่ะ,8.4
4,4,เตียงเสียงดังไปหน่อย นอกนั้นดีค่ะ ของกินหาง่ายติดตลาดค่ะ,4.0
5,5,ทีวีเก่า ต้องขยับสายไปมาเองเพื่อให้สัญญาณภาพชัด อยู่ติดเซเว่น ไม่ไกล bts เดินได้,6.4
6,6,ห้องพักดีค่ะ ให้คะแนนเต็มเลย 10/10,10.0
7,7,ห้องสะอาดดีเลยแนะนำราคาถูกด้วย,9.2
8,8,เดินสะดวก ย่านช้อปปิ้ง หาของกินง่าย,8.8
9,9,ราคาถูก อยู่กลางเมือง,8.8
10,10,ราคาถูก ทำเลกลางเมือง,8.8
11,11,ราคาถูก อยู่กลางใจเมือง,8.8
12,12,ราคาถูก บริการดี,8.4
13,13,Okเลย ทุกอย่างพอดีไปหมด คุ้มนะ,9.2
14,14,คุ้มค่านะ ไปนอนค้างมาช่วงรับปริญญา 8 คืน แนะนำเลยยย,10.0
15,15,มีป้ายรถเมล์หน้าที่พักเลย และสามารถเดินไปบีทีเอสราชเทวีประมาณ 10 นาที ซอยข้างที่พักและซอยตรงข้ามที่พักมีของกินตลอดทั้งวัน ห้องพักสบาย แต่ผ้าปูเตียงค่อนข้างเก่า แอร์เย็นมาก เจ้าของที่พักค่อนข้างมีอายุนิดนึง อาจจะพูดเสียงดังนิดหน่อยค่ะ โดยรวมดีมากค่ะ คุ้มค่ากับเงิน,9.2
16,16,ที่พักคุ้มค่าคุ้มราคาค่ะ ใกล้ bts เดินทางสะดวก เจ้าของน่ารักพูดจาดี ประทับใจมากๆค่ะ,9.6
17,17,ดีมาก คุ้มเงินมาก จองเลยยย,10.0
18,18,โรงเเรมใกล้เเหล่งของกิน ใกล้bts ราชเทวี ห้องค่อนข้างกว้าง ประตูห้องพักเเอบล็อคไม่ได้ ความสะดวกในเรื่องของที่จอดค่อนข้างดี เเต่ข้อเสียทางเข้าที่จอดรถค่อนข้างหายากถ้าไม่สังเกตทางเข้าดีๆจะหายากมาก โรงเเรมเปิดทางเข้าด้านหน้าเเค่ด้านเดียว (ข้าง7-11) ส่วนทางเข้าด้านข้างปิด ใครขับรถตั้งGPS มาต้องระวังด้วยนะคะ เพราะ GPS จะปักหมุนให้เข้าทางข้างโรงแรม ต้องไปกลับรถใหม่ค่อนข้างค่อนไกล ราคาโดยรวมถือว่าโอเครค่ะ ราคาไม่เเพง,6.4
19,19,ตรงปก ทำเลดี,10.0
20,20,ที่พักสะอาด ห้องกว้าง ราคาห้องถูก,10.0
