,Review,Rating
0,โรงแรมอยู่ติดสถานที่ท่องเที่ยวสะดวกในการต่อรถและสะดวกในการเดินไปหาอะไรทานอยู่ไม่ไกลจากถนนข้าวสารมากนักและพระบรมมหาราชวังคุณสามารถเดินไหว้พระได้ในบริเวณนี้และมีร้านข้าวต้มราคาถูกใกล้ใกล้โรงแรม,4.5
1,"จองห้องDeluxe Double Room 3 ห้อง1คืน ที่จอดรถพอเพียง มีบริการอาหารเช้าถ้าต้องการจ่ายเพิ่ม โรงแรมเก่าแต่มีสิ่งอำนวยความสะดวกครบถ้วนทั้งอ่างอาบน้ำ,ตู้เย็น,โซฟาทั้งที่เป็นห้องพักธรรมดาราคาถูกสุดในห้องมีเตียงนอน2เตียง1เล็กและ1ใหญ่ โรงแรมมีสระว่ายน้ำด้วย การเช็คอินค่อนข้างใช้เวลา อาจเพราะมาพอดีบ่าย2 คนเช็คอินพร้อมกันมาก ต้องวางมัดจำเงินประกันห้องละ500บาท จะได้คืนเมื่อเช็คเอ้าท์ ค่าห้องคืนละ757จองผ่านtrip.com จอง3ห้องคืนเดียวมากับเพื่อนๆ มาเพื่องานวิ่งATM คำขอพิเศษคือห้องชั้นสูงๆวิวสวยงาม ไม่ได้ดังขอเพราะได้ห้องชั้นเตี้ยสุด ได้ห้องวิวผนังอาคารจอดรถใกล้ถังน้ำมันสำรอง(กลัวaccident) โรงแรม lobby กลิ่นแปลกๆจะดีกว่านี้มากถ้ามีการระบายอากาศดี และแสงสีภายในโรงแรมดี พนักงานโรงแรมธรรมดาๆคือบางโรงแรมกุลีกจอช่วยเหลือมาก โรงแรมนี้เฉยๆมีแอบทะเลาะกับลูกค้าด้วยแต่ลูกค้าก็โหดอยู่ ที่ตั้งโรงแรมดีมากเดินเที่ยวสะดวกไม่ไกลทั้งด้านศิลปะวัฒนธรรม,ด้านความบันเทิง,อาหาร,ความแปลกด้านคลองหลอด ถ้าชอบเดินMRTสามยอด,สนามไชยก็เดินไปได้สบายๆและไปต่อได้อีกหลายที่ในกทม.ทั้งหมดนี้รวมในโรงแรมราคาถูกนี้ คุ้มค่าเงินมาก ปีหน้าจะมาวิ่งอีกแต่จะลองไปนอนที่อื่นๆบ้าง ชอบความหลากหลาย แสดงเพิ่มเติม",4.2
2,ทำเลสุดยอดแหละโรงแรมนี้ โรงแรมเก่าแก่ แต่เหมือนในห้องพักผ่านการปรับปรุงแล้ว ถ้าเปลี่ยนพรมทางเดินก็จะดีมาก,4.0
3,ทำเลดีมาก ใกล้สถานที่สำคัญมากมาย ทั้งพระบรมมหาราชวัง ศาลฎีกา วัดราชบพิธ ถนนข้าวสาร แม้จะเก่า แต่ห้องน่าพัก มีสระว่ายน้ำและห้องอาหารจีนน่าใช้บริการครับ,3.7
4,เป็นการนอนคืนที่สอง หลังจากคืนแรกเจอประสบการณ์อันเลวร้าย จำเป็นต้องแจ้งกับ Reception ว่าไม่ไหวแล้วกับสิ่งที่ต้องเจอในคืนแรก คนเก่าแก่ก็ทำหน้าตาไม่อยากให้ย้าย แต่มีน้องผู้หญิงคนหนึ่งอายุน้อยที่สุดตรงนั้น แจ้งว่างั้นจะให้ย้ายหลังจากบ่ายสอง ซึ่งเราก็โอเค พร้อมแจ้งว่าเห็นในรีวิวมีห้องที่ไม่ได้ปูพรมในห้อง เราอยากได้ห้องแบบนั้นจะได้ไม่มีปัญหาเกี่ยวกับพรมที่มีกลิ่มอับอีก ผู้หญิงคนนั้นก็รับปากดูให้ เราก็กลับขึ้นไปเก็บของในห้องเดิม พอถึงเวลามีเจ้าหน้าที่ไปรับมาเปลี่ยนห้อง ได้ห้อง 365 เราก็ใจชื้นนึกว่าจะต่างจากเดิม เพราะเลขห้องต่างกันเยอะ สรุป!! ทรงเดิมเลยจ้า แค่ย้ายฟากเป็นฝั่งสระน้ำ แต่ห้องนี้ดีขึ้นนิดหน่อยตรงกลิ่นพรมอับและห้องน้ำเหม็นน้อยลง (แต่ยังคงเหม็นอยู่) ทั้งนี้ไม่แน่ใจว่าห้องที่อยู่ตึกข้างหน้า (น่าจะดีกว่า) ต้องจองพร้อมอาหารเช้าด้วยถึงจะได้ หรือไม่มีห้องที่ระดับเดียวกันกับที่จอง สรุปถ้าจำเป็นว่าต้องพักเพราะทำธุระสะดวก คิดว่าตัวเองอดทนกับสิ่งเลวร้ายที่อาจเกิดขึ้นกับคุณได้ ก็จองครับ แต่ถ้าหวังความสะดวกสบาย ในการเข้าพัก จง หนี ไป!!!! แสดงเพิ่มเติม,2.0
5,ทำเลดี ภายนอกโรงแรมดูเก่าเนื่องจากเป็นโรงแรมเก่าเลยดูเก่าๆไปบ้าง แต่ในห้องโอเคค่ะ เตียงนอนใหญ่มากนอนสบาย ความสะอาดโอเค พนักงานบริการดี จองไปห้อง 2คน ตอนเช็คอินมีเด็กไปด้วยทาง รร. เปิดเป็นห้องใหญ่ให้ 1เตียงคิงไซต์+1เตีเดียว 👍🏻,4.0
6,ห้องสะอาด ทำเลที่ตั้งดีสถานที่ท่องเที่ยวเดินไปได้บริการพนักงานดีเยี่ยมเจ้าของโรงแรมดีเยี่ยมออกมาดูความเรียบร้อยเอง สรุปดีเวอร์ค่ะ,4.7
7,โรงแรมแห่งนี้มีทำเลดีมากๆเพราะว่าตั้งอยู่ใกล้ใกล้กับถนนข้าวสาร แหล่งที่เที่ยวกลางคืนในย่านนี้ สามารถเดินไปได้ โรงแรมราคาไม่แพง,4.2
8,ได้อยู่โซนชั้น1 วันนี้ได้ห้องแคบไปหน่อย ประตูห้องน้ำล็อคไม่ได้ แอร์เย็นมาก หมอนนอนวันนี้ดีคะไม่เก่ามากเตียงไม่ยวบ นอนสบายขึ้น ยังไปมาสะดวกเหมือนเดิม,4.2
9,ได้เข้าพักที่นี่เนื่องจากได้ดีลพิเศษจาก trip เหลือหลักร้อย เลยได้ไปลองเข้าพักที่นี่ เช็คอินประมาณ 2 ทุ่ม บรรยากาศโดยรอบโรงแรมแถมนั้นดูไม่ดีเลย มีแต่คนจรนอนหน้าโรงแรม เข้ามาถึงหน้าเคาน์เตอร์มาเช็คอิน ก็มาการเก็บมัดจำ 500 บาท เดินเข้ามาขึ้นลิฟต์ไปห้องตัวเอง บรรยากาศห้องดูเก่ามาก และที่ค่อนข้างรู้สึกไม่ดีเพราะมีฝุ่นเยอะไปหน่อย โรงแรมเก่าๆ ดูวังเวงนิด และตอนเช้าไม่ได้ซื้อรวมอาหารเช้าไว้ก็ต้องมาจ่ายเงินสดหน้าทางเข้าห้องอาหารเอาเอง อาหารการกินมื้อเช้าก็ทั่วๆไป แต่มีซอสมะเขือเทศแบบซองที่เอาทาวางไว้มันหมดอายุแล้ว,3.0
