,Review,Rating
0,เตียงนุ่มมากๆๆๆ เตียงกว้าง เป็นโรงแรมของชาวต่างชาติไม่ค่อยมีคนไทยพัก ตอนไปมีแต่คนอินเดีย ในห้องให้น้ำดื่ม4ขวดเริ่ด ในลิฟกับตรงทางเดินมีเพลงสไตล์เก่าๆเต้นรำ พนังงานบริการดี,4.7
1,ห้องพักไม่ค่อยสะอาด มีกลิ่นสาบห้องเก่า ฝุ่นกระจัดกระจายฟุ้งไปทั่วห้อง นอนแทบไม่ได้ แถมมีแมลงสาบวิ่งเล่นใต้เตียงด้วย,2.0
2,โรงแรมอยู่ในซอย เดินทางเข้าออกลำบาก แต่โรงแรมมีรถรับส่ง24 ชม แต่สามารถรับส่งได้เป็นจุดๆๆ ไม่ได้ส่งถึงทางขึ้นบีทีเอส หรือ ตลาดประตูน้ำ ห้องใหญ่ สิ่งอำนวยความสะดวกครบ เสียดายว่าห้องมีกลิ่นอับหน่อยๆ,4.0
3,ที่พักเสียงดังมากๆ มีก่อสร้างข้างๆ ห้องไม่เก็บเสียง และแอร์เสียงดังนอนไม่หลับ ควรปรับปรุง ส่วนอาหารโอเค มีประโยชน์,4.0
4,โดยรวมดีมากค่ะ ทำเลดี มีรถบริการส่งแอร์พอร์ตลิ้งค์สถานีพญาไท ส่วนตัวชอบอาหารเช้ามีหลากหลาย เติมเต็มตลอดเวลาค่ะ 👍👍👍,5.0
5,บอกได้เลยว่าไปกับแฟนฟินสุดๆ ราคาไม่แพงมาก รวมค่าอาหารบุฟเฟ่ต์ด้วย บนดาดฟ้ามีสระว่ายน้ำด้วย,5.0
6,ดีดีดี,5.0
7,ที่พักสะอาดดีค่ะ เตียงหลับสบายตื่นมาไม่ปวดหลัง อยู่ใกล้บีทีเอสมีบริการรับส่ง สะดวกมากๆ,5.0
8,ที่พักอยู่ไม่ไกล BTS แต่งห้องพักกลิ่นอับ ขนาดเล็ก อาหารและแขกส่วนใหญ่เป็นแถบอินเดีย มีประโยชน์,3.5
9,บริการดี อาหารอร่อย มีรถรับส่งไปแหล่งชอปปิ้ง ใกล้รถไฟฟ้า ราคาไม่แพง สะอาด,5.0
10,เตียงนุ่มมากๆๆๆ เตียงกว้าง เป็นโรงแรมของชาวต่างชาติไม่ค่อยมีคนไทยพัก ตอนไปมีแต่คนอินเดีย ในห้องให้น้ำดื่ม4ขวดเริ่ด ในลิฟกับตรงทางเดินมีเพลงสไตล์เก่าๆเต้นรำ พนังงานบริการดี,4.7
11,ห้องพักไม่ค่อยสะอาด มีกลิ่นสาบห้องเก่า ฝุ่นกระจัดกระจายฟุ้งไปทั่วห้อง นอนแทบไม่ได้ แถมมีแมลงสาบวิ่งเล่นใต้เตียงด้วย,2.0
