,Review,Rating
0,แอร์เย็นมากๆๆๆๆๆๆ ค่ะ ถูกใจมาก เปิดแล้วแบบเย็นฉ่ำ อยู่ติดรถไฟฟ้า ไปมา สะดวก อาหารเช้า ok แต่ตู้เย็นไม่ค่อยเย็น,4.0
1,การเดินทางสะดวกใกล้รถไฟฟ้าสนามกีฬา ด้านล่างโรงแรมมีแมคโดนัลด์ แอร์เย็นฉ่ำ ห้องสะอาด พนักงานให้บริการดี อาหารเช้าอร่อย มีทั้งข้าวสวย ข้าวต้ม เบเกอรี่ กาแฟ ซอสเซจ ....สำหรับมือเช้าคือหลากหลายพอสมควร ใครที่ชอบเดินสยาม พักที่นี่ก็ใกล้ดีนะ,4.7
2,ห้องพักสะอาดวิวสวย เตียงนุ่ม น้ำแรง แอร์หนาวมาก อาหารเช้าธรรมดา พนักงานบริการดี,4.2
3,โรงแรมใจกลางเมือง เดินทางสะดวก ใกล้บีทีเอส มีที่จอดรถ อาหารเช้าไม่หลากหลายมาก แต่มีบริการ to go และด้วยความเป็น expeess facilities รวมๆ ไม่มาก แต่เพียงพอ ห้องใหญ่พอสมควร นอนสบาย คุ้มราคากับความสะดวกกลางเมือง มีประโยชน์,4.5
4,ไม่มีความปลอดภัย ในการมาพักที่นี่เลยค่ะ ตอนเช้า7:00น. มีเจ้าหน้าที่ทางโรงแรมเปิดประตูห้องเข้ามา แสดงความรับผิดชอบโดยการพูดแค่ขอโทษ และจ่ายค่าแท็กซี่ให้100 บาทเพื่อที่เราจะไปไหว้ศาลเจ้าพ่อเสือช่วงปีใหม่ แล้วเราเป็นผู้หญิงเดินทางกับแม่ 2คน คิดว่าเลือกแบรนด์นี้แล้ว ความปลอดภัยความสะดวกน่าจะมีมากอยุ่ แต่ไม่จริงเลยค่ะ จองห้องมานอน3คน แต่เช็คอิน ได้ห้องขนาดเตียงควีนไซส์ ซึ่งแม่เราอ้วน เลยจองแบบ3คน รู้สึกเสียดายเงินและความรู้สึกมากๆ อย่างน้อยให้คนที่เปิดประตูเข้ามา มาขอโทษหน่อยก็ดี แต่นี่ไม่ค่ะ คุณจะแจ้งว่าเข้าห้องผิดมันไม่ได้ คุณต้องเช็คก่อนสิว่ามีคนเข้าพักห้องนี้อยู่รึเปล่า ไม่มืออาชีพ แนะนำควรพัฒนาพนักงานให้มืออาชีพหน่อย,3.5
5,พนักงานคล่องรร.ได้มาตราฐานดีมาก บริการดี ได้ห้องพักตามีที่ Request ไว้,4.5
6,การบริการดีสิ่งอำนวยความสะดวกเป็นที่น่าพอใจ อาหารรสชาดดี มีประโยชน์,5.0
7,เป็นโรงแรมที่อยู่ใจกลางเมืองมีความสะดวกสบายครบใกล้รถไฟฟ้าเดินทางไป สยามใน 5 นาทีสถานที่สะอาด มีประโยชน์,5.0
8,วิวดี ห้องใหม่ สะอาด มีของใช้ให้ครบ คุมค่ากับราคา อยู่ติดใจกลางเมืองเดินทางสะดวก มีประโยชน์,5.0
9,พนักงานน่ารักมากค่ะ ใกล้แหล่งท่องเที่ยวกับ BTS เดินทางสะดวกมากค่ะ,5.0
10,แอร์เย็นมากๆๆๆๆๆๆ ค่ะ ถูกใจมาก เปิดแล้วแบบเย็นฉ่ำ อยู่ติดรถไฟฟ้า ไปมา สะดวก อาหารเช้า ok แต่ตู้เย็นไม่ค่อยเย็น,4.0
11,การเดินทางสะดวกใกล้รถไฟฟ้าสนามกีฬา ด้านล่างโรงแรมมีแมคโดนัลด์ แอร์เย็นฉ่ำ ห้องสะอาด พนักงานให้บริการดี อาหารเช้าอร่อย มีทั้งข้าวสวย ข้าวต้ม เบเกอรี่ กาแฟ ซอสเซจ ....สำหรับมือเช้าคือหลากหลายพอสมควร ใครที่ชอบเดินสยาม พักที่นี่ก็ใกล้ดีนะ,4.7
12,ห้องพักสะอาดวิวสวย เตียงนุ่ม น้ำแรง แอร์หนาวมาก อาหารเช้าธรรมดา พนักงานบริการดี,4.2
13,โรงแรมใจกลางเมือง เดินทางสะดวก ใกล้บีทีเอส มีที่จอดรถ อาหารเช้าไม่หลากหลายมาก แต่มีบริการ to go และด้วยความเป็น expeess facilities รวมๆ ไม่มาก แต่เพียงพอ ห้องใหญ่พอสมควร นอนสบาย คุ้มราคากับความสะดวกกลางเมือง มีประโยชน์,4.5
14,ไม่มีความปลอดภัย ในการมาพักที่นี่เลยค่ะ ตอนเช้า7:00น. มีเจ้าหน้าที่ทางโรงแรมเปิดประตูห้องเข้ามา แสดงความรับผิดชอบโดยการพูดแค่ขอโทษ และจ่ายค่าแท็กซี่ให้100 บาทเพื่อที่เราจะไปไหว้ศาลเจ้าพ่อเสือช่วงปีใหม่ แล้วเราเป็นผู้หญิงเดินทางกับแม่ 2คน คิดว่าเลือกแบรนด์นี้แล้ว ความปลอดภัยความสะดวกน่าจะมีมากอยุ่ แต่ไม่จริงเลยค่ะ จองห้องมานอน3คน แต่เช็คอิน ได้ห้องขนาดเตียงควีนไซส์ ซึ่งแม่เราอ้วน เลยจองแบบ3คน รู้สึกเสียดายเงินและความรู้สึกมากๆ อย่างน้อยให้คนที่เปิดประตูเข้ามา มาขอโทษหน่อยก็ดี แต่นี่ไม่ค่ะ คุณจะแจ้งว่าเข้าห้องผิดมันไม่ได้ คุณต้องเช็คก่อนสิว่ามีคนเข้าพักห้องนี้อยู่รึเปล่า ไม่มืออาชีพ แนะนำควรพัฒนาพนักงานให้มืออาชีพหน่อย,3.5
15,พนักงานคล่องรร.ได้มาตราฐานดีมาก บริการดี ได้ห้องพักตามีที่ Request ไว้,4.5
16,การบริการดีสิ่งอำนวยความสะดวกเป็นที่น่าพอใจ อาหารรสชาดดี มีประโยชน์,5.0
17,เป็นโรงแรมที่อยู่ใจกลางเมืองมีความสะดวกสบายครบใกล้รถไฟฟ้าเดินทางไป สยามใน 5 นาทีสถานที่สะอาด มีประโยชน์,5.0
18,วิวดี ห้องใหม่ สะอาด มีของใช้ให้ครบ คุมค่ากับราคา อยู่ติดใจกลางเมืองเดินทางสะดวก มีประโยชน์,5.0
19,พนักงานน่ารักมากค่ะ ใกล้แหล่งท่องเที่ยวกับ BTS เดินทางสะดวกมากค่ะ,5.0
