,Review,Rating
0,ห้องมีกลิ่นอับ และไม่มีการเปลี่ยนผ้าปูที่นอนและปลอกหมอน,5.7
1,เรื่องความปลอดภัยน่ากลัวนะคะ ช็อกกับการถือวิสาสะมาเปืดประตูของพนักงานถึง 2 ครั้ง ครั้งแรกมาเคาะแล้วเราเปิดช้า พนักงานหมุนลูกบิดประตูเหมือนจะเปิด จนเราต้องตะโกนว่า รอ! ครั้งที่ 2 ฉันแทบหัวใจวาย พนักงานผู้ชายเปิดประตูห้องฉันตอนตี 2 ฉันหันไปเห็นหน้าเขาพอดี เขารีบปิดประตูทันที โชคดีที่ฉันคล้องกุญแจไว้ ฉันตะโกนถามเขาว่า อะไร! แล้วเปิดประตูถามเขาด้วยความตกใจและโกรธ เขาบอกว่าฉันลืมกุญแจไว้ มีคนเอามาคืนให้ที่เคาน์เตอร์ ช่างเป็นการกระทำที่แย่และไร้มารยาทมาก ฉันนอนไม่หลับทั้งคืน ไม่เคยเจออะไรแบบนี้ ทั้งตกใจและหวาดกลัว เขาเปิดประตูห้องฉันได้ตอนตี 2 แล้วไม่เคาะอะไรเลย  สภาพห้องก็ปกติไม่ได้แย่อะไร สะดวกสบาย แต่ฉันว่าฉันคงไม่ไปพักอีกแล้ว,8
2,โรงแรมสกปรกเกินไปขาดอุปกรณ์ไม่มีน้ำไม่มีน้ำมันอาบน้ำมืดผ้าห่มเก่าความรู้สึกสกปรก ทำเลที่ตั้งลึกในตลาดไม่เหมาะกับโรงแรม ราคาไม่สมเหตุสมผลนี่เป็นโมเต็ลราคาประหยัด,4.8
3,ห้องพักอึดอัด ที่นอนชื้นมีกลิ่นแรงและแข็ง พื้นเหนียว ไม่มีเครื่องทำน้ำอุ่นไม่มีทีวี เฟอร์นิเจอร์เสียหายมากมาย สบู่และแชมพูจะไม่ถูกแทนที่ทุกวัน ห้องพักไม่ได้รับการทำความสะอาดทุกวัน ตำแหน่งโรงแรมหายาก,4.8
4,ดี โรงแรมอยู่ลึกเข้าไปในช่องทางเล็กน้อยดังนั้นฉันจึงค่อนข้างกลัวในตอนแรก โรงแรมตั้งอยู่ในตลาดที่มีผู้คนหนาแน่นการช็อปปิ้งและรับประทานอาหารที่สะดวกสบายมาก พนักงานที่เป็นมิตรอย่างมากห้องพักที่มีอุปกรณ์ครบครันราคาสมเหตุสมผลเช็คอิน / เช็คเอาท์ได้อย่างรวดเร็ว,9.1
5,เป็น ที่พักเต็มไปด้วยสิ่งจำเป็น มีการสูบบุหรี่ลิฟต์พนักงานที่เป็นมิตร Chech พิมพ์ / เช็คเอาต์ได้อย่างรวดเร็ว ตั้งอยู่ในตลาดสะดวกในการกินและดื่ม,8.5
6,ประสบการณ์การเช็คอินใช้เวลาเกือบหนึ่งชั่วโมงนานจริงๆ ห้องพักของโรงแรมแคบมากสกปรกมากการเข้าไปในห้องของเราจะผ่านเตียงสปริงหักกระเป๋าที่หักในมุมของห้องโถงแผ่นแขวนและแย่มากอีกครั้ง เตียงสปริงยากจริง ๆ ทำเลที่ตั้งของโรงแรมอยู่กลางตลาดและตรอกเล็ก ๆ อึดอัดมาก อันดับแรกมองหาตำแหน่งของโรงแรมวนเวียนอยู่ในตลาดถามคนรอบข้างไม่ทราบชื่อของโรงแรม พักที่นี่เพียงพอ!,4.8
7,ห้องพักสะอาดพนักงานกระตือรือร้นหายากนิดหน่อย แต่ก็โอเค,8.5
8,โรงแรมยังสะอาดและสะดวกสบาย,8.4
9,ราคาถูกชั่วคราวกระตือรือร้นใกล้ศูนย์,8.5
10,โรงแรมค่อนข้างสะอาดและสว่าง,8.8
