,Review,Rating
0,ขอตำหนินิดนึงคะ ในพื้นห้องยังมีเส้นผมเป็นกำๆร่วงอยู่เหมือนทำความสะอาดไม่หมด,8.4
1,พนักงานบริการดี เช็คอินไว ตอนแรกน้ำอุ่นไม่ทำงานก็ไปแจ้งที่ฟร้อน พนักงานก็แก้ไขให้ ไม่ติดปัญหาอะไรค่ะ ห้องพักสะอาด นอนสบาย แต่เตียงเป็นแบบมีล้อข้างล่่าง พอดีแฟนตัวใหญ่เวลาขยับตัวแรงๆเตียงจะมีเลื่อนบ้างเล็กน้อย แต่โดยรวมก็คุ้มค่า,9.4
2,บริการแย่มากๆ คงเห็นว่าเป็นคนไทย,6
3,ได้พัก2คืน พนง.ดี ห้องสะอาด เก็บเสียง มีรถสามล้อของรร.บริการรับ-ส่งฟรี น้ำในห้องน้ำแรงดี ขาดแต่ในห้องไม่มีกาแฟให้ นอกนั้นดีหมดเลยจ้า,9.7
4,ประทับใจการทำงานของน้องเหน่ง(แผนกต้อนรับ)ทั้งการแนะนำเส้นทาง การอัพเกรดห้อง บริการด้วยคำพูดที่สุภาพมากๆหน้าตายิ้มแย้ม😊🙏รวมทั้งพนักงานขับรถตุ๊กๆรับ-ส่งที่บริการด้วยความสุภาพยิ้มแย้มแม้อากาศจะร้อน อบอ้าวมาก!🙏ห้องก็ดีสมราคา สะอาดนำ้ไหลแรงดี แอร์เย็นดี ถ้ามีโอกาสจะไปพักอีก ขอบคุณมากๆค่ะ,9.4
5,พนักงานต้อนรับ พนักงานขับตุ๊กๆ บริการดี รับส่ง ปากซอยฟรี ทุกอย่างโอเคมากคะ มีโอกาสไปอีกแน่นอน,9.3
6,รถโรงแรมไม่มีคนขับตลอด พอบอกให้ไปส่ง พาไปส่งไม่ถึงหน้าปากซอย ในนี้บอกห่างbtsพญาไท0.4km ความจริง 0.9++km แต่ห้องพักเงียบดี ได้ยินเสียงคนเดินนิดหน่อย ถ้าพัฒนาเรื่องการรับส่งจะดีมากค่ะ,5.4
7,แอรไม่เย็นเลย อยุ่ลึกไปหน่อยแต่มีรถรับส่ง วันที่ไปรถเสียต้องเดินเอา,5.9
8,พนักงานต้อนรับดีมากๆเลยค่ะ บริการดี ห้องสะอาดดีค่ะ ไว้จะกลับมาพักอีก,9.3
9,"ห้องกว้าง สะอาด เงียบ เหมาะแก่การพักผ่อน ไม่มีหมวกอาบนำ้ ถามการเดินทางไปbts พนักงานแจ้งว่ามีรถตุ๊กๆของไปส่งใกล้bts แต่พอจะไปพนักงานกลับบอกว่า ""ใกล้ๆเดินไปก็ถึง ถ้าลองไปจะรู้ว่าใกล้แค่ไหน""",9.1
10,สถานที่อยู่ใกล้กับ BTS พญาไท แต่ว่าอยู่ในซอยค่อนข้างซับซ้อนนิดหน่อย ที่จอดรถมีอยู่บริเวณหน้าโรงแรมนิดหน่อย อาหารเช้าไม่ค่อยหลากหลาย พนักงานบริการดี ห้องกว้างขวาง,8.7
11,ห้องสะอาดดีค่ะ แต่จองยากไปหน่อย,8.5
12,ห้องพักสะอาดดีค่ะ พนักงานขับรถรับส่งบริการดีมากๆๆค่ะ แต่พนักงานต้อนรับบางคนพูดจาไม่เพราะค่ะ ทุกอย่างโอเคหมดน่ะค่ะ,9.4
13,"ห้องพักดี พนง. เป็นกันเอง บริการดี ห้องสะอาด กว้าง
แต่ทางเข้าเเอบงงหน่อยๆ ถ้างงก็โทรไปถามได้นะคะ
จริงๆก็ใกล้กับบีทีเอส ส่วนอาหารเช้าก็อร่อยดีค่ะ เมนูไข่ๆสั่งทำร้อนๆได้ด้วยค่ะ",9.4
14,โดยรวมแล้วโอเคค่ะ เหมาะสมกับราคา  🤗,8.5
15,เจ้าหน้าที่อัธยาศัยดีมาก ทุกจุดบริการ,9.4
16,ราคาเหมาะสม ห้องพักดี แนะนำให้พักที่นี่ถ้ามาย่านประตูน้ำ,8.5
17,ไกลและลึกค่อนข้างมาก เดินทางลำบาก,6.8
18,ห้องสะอาด ใหม่ มีรถสามล้อรับส่งปากซอย เดินทางค่อนข้างลำบาก,7.5
19,ดีค่ะ ทุกอย่างเลย แต่เข้าไปโรงแรมไกลหน่อย น่าจะมีรถรับส่งตลอดนะคะ วันนั้นเช็กเอาต์ตอนตี 5 เพราะมีบินต่อ พนักงานหน้าเคาน์เตอร์แจ้งว่ารถบริการส่งลูกค้าหยุดส่งตอนเที่ยงคืน เราเลยเดินออกมาจากซอยตอนตี 5 เปลี่ยวมากๆ แต่ทุกอย่างโอเคค่ะ ไปอีกแน่นอน,8.5
20,ไกลจากปากซอย แต่ก็มีรถตุ๊กตุ๊กบริการ,9.1
21,เดินทางสะดวก โรงแรมอยู่ในแหล่งช็อปปิง ใจกลางกรุงเทพฯ ห้องพักสะดวกสบาย,8.5
22,ห้องพักสบายและสะอาดมากค่ะ แต่ถ้าเดินจากบีทีเอสพญาไท จะค่อนข้างไกลนิดนึงค่ะ,9.4
23,ดีมากการเดินทางอาจจะไกลเล็กน้อย,10
24,สะอาด ห้องพักดี สภาพใหม่ แต่อาจเข้าซอยลึก,8.8
25,สะดวก เดินทางสะดวก ใกล้ย่านการค้า ถึงจะอยู่ในซอย ก็มีบริการรถรับส่งปากซอย ห้องนอนสะอาด ปลอดภัยค่ะ,8.5
26,จากบีทีเอส เดินไกลนิดหน่อย แต่พนักงานบริการดีค่ะ,8.8
27,ชอบมาก ไปไหนมาไหนง่าย,8.5
28,ดีค่ะ พนักงานบริการดี น่ารักทุกส่วนค่ะ อ้อ มีบริการรถตุ๊กๆด้วยนะคะ,9.4
29,บริการดีค่ะ แต่ทางเข้าค่อนข้างน่ากลัว,8.4
30,สภาพโรงแรม การบริการ โอเคนะคะ ชอบ และเดินทางสะดวก,8.8
