,Review,Rating
0,ได้ราคาดีจากทริป เลยจอง พนักงานต้อนรับวันแรก ไม่ยิ้มแย้มพูดไม่เงยมองหน้ามองเลย ส่วนห้องพักก็ตามมาตรฐาน ห้องที่พักใกล้กับประตูหนีไฟ คิดว่ามีคนแอบสูบบุหรี่ตรงรั้นเพราะตอนออกไปทำงานได้กลิ่นบุหรี่ตรงทางเดินหน้าห้อง มีอยู่คืนนึงที่กลิ่นเข้ามาในห้อง อันนี้คือต้องแก้ไข้ เพราะมันเหม็นปวดหัว มีประโยชน์,3.7
1,โรงแรมสะอาด พนักงานดี ที่จอดรถเยอะ,4.7
2,บริการดีรวดเร็ว จอดรถสะดวก เสียดายแบบภายในห้องแบบเก่าตกแต่งสวยกว่า มีประโยชน์,4.7
3,ห้องสวย ราคาดี ทำเลดี ที่จอดเยอะ พยักงานดี บริการดีมากค่ะ มีประโยชน์,5.0
4,สถานที่ สะอาดกว้างขวาง บริการดี อินเตอร์เน็ท ช้าไปหน่อย มีประโยชน์ (1),5.0
5,พนักงานบริการดี ห้องพักสะอาด อาหารอร่อย บรรยากาศดี,5.0
6,สถานที่เก่านิดนึง แต่สะอาด บริการดี มีประโยชน์,4.5
7,พนักงานน่ารัก มีประโยชน์,5.0
8,ไกลจากBTS นิดหน่อย แต่โดยรวมก็ถือว่าดีครับ มีประโยชน์,4.0
9,่บริการดีมาก สะดวกสบาย มีประโยชน์,5.0
10,ได้ราคาดีจากทริป เลยจอง พนักงานต้อนรับวันแรก ไม่ยิ้มแย้มพูดไม่เงยมองหน้ามองเลย ส่วนห้องพักก็ตามมาตรฐาน ห้องที่พักใกล้กับประตูหนีไฟ คิดว่ามีคนแอบสูบบุหรี่ตรงรั้นเพราะตอนออกไปทำงานได้กลิ่นบุหรี่ตรงทางเดินหน้าห้อง มีอยู่คืนนึงที่กลิ่นเข้ามาในห้อง อันนี้คือต้องแก้ไข้ เพราะมันเหม็นปวดหัว มีประโยชน์,3.7
11,โรงแรมสะอาด พนักงานดี ที่จอดรถเยอะ,4.7
12,บริการดีรวดเร็ว จอดรถสะดวก เสียดายแบบภายในห้องแบบเก่าตกแต่งสวยกว่า มีประโยชน์,4.7
13,ห้องสวย ราคาดี ทำเลดี ที่จอดเยอะ พยักงานดี บริการดีมากค่ะ มีประโยชน์,5.0
14,สถานที่ สะอาดกว้างขวาง บริการดี อินเตอร์เน็ท ช้าไปหน่อย มีประโยชน์ (1),5.0
15,พนักงานบริการดี ห้องพักสะอาด อาหารอร่อย บรรยากาศดี,5.0
16,สถานที่เก่านิดนึง แต่สะอาด บริการดี มีประโยชน์,4.5
17,พนักงานน่ารัก มีประโยชน์,5.0
18,ไกลจากBTS นิดหน่อย แต่โดยรวมก็ถือว่าดีครับ มีประโยชน์,4.0
19,่บริการดีมาก สะดวกสบาย มีประโยชน์,5.0
