,Review,Rating
0,ดีมาก สดวกครบครัน บริการเป็นเริ่ด รีโมทแอร์บังเอิญถ่านหมด ติดต่อโรงแรม โรงแรมติดต่อช่างให้อย่างไว เดียวโอกาสหน้าจะกลับไปพักใหม่นะคะ แอร์เย็นมากก ได้ดูวิวเมืองอีก บอกเลยคุ้มมาก 🤩 ราคาไม่แพงมาก มีแบบทั้งรวมอาหาร และไม่รวม จองผ่านแอพนี้คุ้มคะ จองไป3คืน ราคาแค่ 2000+กว่าบาทเอง,5.0
1,"มากรุงเทพ แต่ยังไม่รู้จะพักที่ไหน....แนะนำที่นี่เลยจ้า Samran Place Hotel ที่พักใจกลางกรุงเทพมหานคร ทำเลดี การเดินทางสะดวก โรงแรมอยู่ใกล้ BTS แถมยังมีรถโดยสารผ่านตลอดทั้งคืนอยู่ใกล้ห้างสรรพสินค้าเซ็นทรัลเวิลด์ สยามพารากอน สยามสแคว สยามเซ็นเตอร์และอยู่ติดกับแหล่งช้อปปิ้งสุดฮิต แพลตตินัม , ประตูน้ำ , พันทิพย์พลาซ่า และแถวนี้ยังมีแหล่งท่องเที่ยว แหล่งช้อปปิ้งอีกเยอะแยะเลยน๊า",5.0
2,โรงแรมสะดวกสบายมากใกล้เเหล่งช้อปปิ้งและร้านอาหารเยอะมากสะดวกสุด ราตาห้องประหยัดมาก,5.0
3,ใกล้บีทีเอสเดินทางสะดวก ห้องสะอาด ความสะดวกสบายพอใจหาของกินง่ายโดยรวมดี,4.0
4,ห้องพักดีมาก สะอาด น่าเข้าพัก การเดินทางก็สะดวก อาหารก็หาง่าย สะดวก แนะนำนะคะพนักงานบริการดีมากค่ะ 🙂🙂,5.0
5,โรงแรมสำราญเพลสเป็นสถานที่ ที่สะอาดแห่งหนึ่งแถวราชเทวีเลยค่ะ ห่างจากรถไฟฟ้าราชเทวีไม่ไกลมากเดินแค่ 4-5 นาที การบริการดีมากค่ะ มีอาหารภายในโรงแรมด้วยหรือจะหาทานขางนอกโรงแรมก็ได้ ทำเลที่ตั้งดี หาง่ายอยู่ติดถนน ใกล้ร้านอาหารและสถานที่ท่องเที่ยว ห้างหลายแห่ง ใครหาที่พักแนะนำที่นี่เลยค่ะ รับรองไม่ผิดหวัง ไว้ถ้ามีโอกาส จะแวะไปใช้บริการอีกแน่นอนค่ะ ^^,5.0
6,โรงเเรมอยู่ใกล้กลับBTS ราชเทวี อยู่ใกล้ป้ายรถเมล์ ฝักบัว มันปรับระดับเอง ห้องไม่เก็บเสียง ได้ยินเสียงภายนอก ทุกอย่างโดยรวมโอเคค่ะ,5.0
7,พนักงานบริการดีมากค่ะ พูดจาสุภาพ น่ารัก โดยเฉพาะพี่ๆแม่บ้าน บริการดีมาก พูดจาเพราะ ทั้งตอนเช็คอินและเช็คเอาท์ ไว้ไปอีกพักอีกแน่นอนค่ะ,5.0
8,ดีมาก สะอาด สะดวก บริการดีพนักวานพูดเพาะ แม่บ้านให่ตวามใส่ใจดี,5.0
9,สะดวกสะอาดและปลอดภัย เดินทาสะดวกมาก พนักงานต้อนรับดีพูดจาเพราะ รวมๆแล้วชอบมากค่ะ,5.0
10,ดีมาก สดวกครบครัน บริการเป็นเริ่ด รีโมทแอร์บังเอิญถ่านหมด ติดต่อโรงแรม โรงแรมติดต่อช่างให้อย่างไว เดียวโอกาสหน้าจะกลับไปพักใหม่นะคะ แอร์เย็นมากก ได้ดูวิวเมืองอีก บอกเลยคุ้มมาก 🤩 ราคาไม่แพงมาก มีแบบทั้งรวมอาหาร และไม่รวม จองผ่านแอพนี้คุ้มคะ จองไป3คืน ราคาแค่ 2000+กว่าบาทเอง,5.0
11,"มากรุงเทพ แต่ยังไม่รู้จะพักที่ไหน....แนะนำที่นี่เลยจ้า Samran Place Hotel ที่พักใจกลางกรุงเทพมหานคร ทำเลดี การเดินทางสะดวก โรงแรมอยู่ใกล้ BTS แถมยังมีรถโดยสารผ่านตลอดทั้งคืนอยู่ใกล้ห้างสรรพสินค้าเซ็นทรัลเวิลด์ สยามพารากอน สยามสแคว สยามเซ็นเตอร์และอยู่ติดกับแหล่งช้อปปิ้งสุดฮิต แพลตตินัม , ประตูน้ำ , พันทิพย์พลาซ่า และแถวนี้ยังมีแหล่งท่องเที่ยว แหล่งช้อปปิ้งอีกเยอะแยะเลยน๊า",5.0
12,โรงแรมสะดวกสบายมากใกล้เเหล่งช้อปปิ้งและร้านอาหารเยอะมากสะดวกสุด ราตาห้องประหยัดมาก,5.0
13,ใกล้บีทีเอสเดินทางสะดวก ห้องสะอาด ความสะดวกสบายพอใจหาของกินง่ายโดยรวมดี,4.0
14,ห้องพักดีมาก สะอาด น่าเข้าพัก การเดินทางก็สะดวก อาหารก็หาง่าย สะดวก แนะนำนะคะพนักงานบริการดีมากค่ะ 🙂🙂,5.0
15,โรงแรมสำราญเพลสเป็นสถานที่ ที่สะอาดแห่งหนึ่งแถวราชเทวีเลยค่ะ ห่างจากรถไฟฟ้าราชเทวีไม่ไกลมากเดินแค่ 4-5 นาที การบริการดีมากค่ะ มีอาหารภายในโรงแรมด้วยหรือจะหาทานขางนอกโรงแรมก็ได้ ทำเลที่ตั้งดี หาง่ายอยู่ติดถนน ใกล้ร้านอาหารและสถานที่ท่องเที่ยว ห้างหลายแห่ง ใครหาที่พักแนะนำที่นี่เลยค่ะ รับรองไม่ผิดหวัง ไว้ถ้ามีโอกาส จะแวะไปใช้บริการอีกแน่นอนค่ะ ^^,5.0
16,โรงเเรมอยู่ใกล้กลับBTS ราชเทวี อยู่ใกล้ป้ายรถเมล์ ฝักบัว มันปรับระดับเอง ห้องไม่เก็บเสียง ได้ยินเสียงภายนอก ทุกอย่างโดยรวมโอเคค่ะ,5.0
17,พนักงานบริการดีมากค่ะ พูดจาสุภาพ น่ารัก โดยเฉพาะพี่ๆแม่บ้าน บริการดีมาก พูดจาเพราะ ทั้งตอนเช็คอินและเช็คเอาท์ ไว้ไปอีกพักอีกแน่นอนค่ะ,5.0
18,ดีมาก สะอาด สะดวก บริการดีพนักวานพูดเพาะ แม่บ้านให่ตวามใส่ใจดี,5.0
19,สะดวกสะอาดและปลอดภัย เดินทาสะดวกมาก พนักงานต้อนรับดีพูดจาเพราะ รวมๆแล้วชอบมากค่ะ,5.0
20,ทำเลที่ตั้งใจกลางเมือง ห้องสะอาด หัองไม่เก็บเสียง พักสองคืน คืนแรกสองห้องบนเสียงดังมาก ตึกๆๆ ยันเที่ยงคืน คืนที่สองก็ได้ยินอีก แต่เป็นคนหลับง่ายไม่ซีเรียส ได้มาราคาดีมากๆ จะกลับไปพักอีก มีประโยชน์,4.5
21,ห่องพักสบาย อยู่ใกล้ห้างสยามทำเลดี แต่ว่าได้ยินเสียงรถเล็กน้อยช่วงเช้า ที่จอดรถไม่พอ ต้องซ้อนคันมีการเขยิบด้วย มีประโยชน์,4.0
22,ชอบมากครับ,4.0
23,พนักงานน่ารัก บริการดี ห้องสะอาด มีของบริการครบ แต่อาจจะมีเสียงดังรบกวนจากข้างนอกบ้าง มีประโยชน์,4.7
24,ใกล้ตัวเมืองและรถไฟฟ้าใกล้ห้างสรรพสินค้ามากมาย เดินทางสะดวกมาก ห้องพักสะอาดดี พนักงานบริการได้ดีเยี่ยม มีประโยชน์,5.0
25,พักที่นี้ประจำ พนักบริการดี เป็นกันเอง (เฉพาะบางคน บางคนคำพูด+ทำหน้าเหวี่ยงวีน) แต่รวมๆ โอเคค่ะ พักที่นี้มาหลายครั้งแล้ว ใกล้บีทีเอส,3.7
26,ห้องดีมากค่ะสะอาด พนักงานแม่บ้านคือดี เดี๋ยวถ้ามีคอนเสิร์ตใกล้ๆอีกจะไปพักอีกรอบ ชอบมากๆ พี่ รปภ.ก็เป็นมิตรมากเลยค่ะ มีประโยชน์,4.5
27,ห้องสะอาด แม่บ้านมาทำความสะอาดทุกวัน ทำความสะอาดดี อาหารมีข้างล่างชั้น 1 ราคาไม่แพง มีประโยชน์,5.0
28,สถานที่โอเค อาหารค่อนข้างที่จะโอเคแต่ไม่ใช่บุฟเฟ่ต์,3.2
29,สะอาดปลอดภัย ￼,4.7
30,ถือว่าใช้ได้แต่ว่าแอร์ไม่ค่อยเย็นน้ำระบายช้า พนักงานบริการดี สุภาพเรียบร้อยพูดเพราะโดยรวมถือว่าดีเป็นโรงแรมที่น่าสนใจอีกที่นึง มีประโยชน์,3.5
31,ห้องพักเหมาะสมกับราคา สถานที่ใกล้แหล่งชุมชนดีค่ะ,4.2
32,ดีมากๆๆๆมาพักสะอาดค่ะ,4.0
33,ห้องใหญ่ แอร์เย็น มีอาหารเช้า พนักงานบริการดี มีประโยชน์,4.2
34,ดีเยี่ยม❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️ มีประโยชน์,5.0
35,สะอาดสะดวกในการเดินทางคะ👍👍👍☘️☘️☘️☘️☘️☘️☘️☘️☘️☘️☘️ มีประโยชน์,4.0
36,พนักงานบริการดีเยี่ยม ต้อนรับดี สะอาด โดยรวมดีค่ะ แนะนำค่ะ เดินทางสะดวกสบาย มีประโยชน์,4.7
37,คุ้มค่ากับราคาครับ พนักงานบริการดีมากๆ ครับ มีประโยชน์,5.0
38,ชอบที่ห้องพักมีกลิ่นหอม ฝุ่นอาจมีบ้าง เเต่ก็ไม่น่าเกลียด ราคาดี เดินทางสดวก มีประโยชน์,3.7
39,ห้องพักสะอาด พนักงานดูแลดี แต่ห้องไม่ค่อยเก็บเสียง มีประโยชน์,4.0
40,พนักงานบริการดีมาก โรงแรมก็สะอาด ดีเยี่ยมหมดเลย👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍 มีประโยชน์,5.0
41,สถานทีสะอาด เหมาะไปนอนพัก เงียบดี พนักงานบริการดีมาก พุดจาไพเราะ มีประโยชน์,5.0
42,สถานที่ทำเลเดินทางสะดวก บริการดีมาก มีประโยชน์,4.7
43,พนักงานบริการดีมากแต่ห้องเหมือนทำความสะอาดไม่ค่อยทั่วถึง มีประโยชน์,4.5
44,ห้องพื้นไม่สะอาด อาหารเช้าดี โรงแรมไกล้รถไฟฟ้าดี มีประโยชน์,4.0
45,พักบ่อยมาก สะดวกเดินทาง มีประโยชน์,5.0
46,ห้องพักน่าอยู่คะ ราคาไม่แพงมาก มีประโยชน์,5.0
47,ดีสะดวกสบายสะอาด มีประโยชน์,5.0
48,ห้องพักกว้างและสะอาด สะดวกสบายใกล้ตลาด ป้ายรถเมล์ ราคาประหยัดไม่แพงแถมอยู่ใจกลางเมืองด้วย มีประโยชน์,4.5
49,ทึ่พัก มีประโยชน์,5.0
50,ดีมาก มีประโยชน์,5.0
51,พนักงานเป็นกันเองและช่วยเหลือดีมาก อาหารเช้าค่อนข้างแย่ ของขาดหายไป เช่น นมเหลว แยม ขนมอบ ฯลฯ ทำเลดีห่างจากมาบุญครองประมาณ 15 นาที คุ้มค่ากับเงินที่จ่าย ข้อความเดิม แปลโดย Google,3.0
52,ทำเลที่ตั้งน่าทึ่งและโรงแรมดีมาก แต่เก่าไปหน่อย จำเป็นต้องได้รับการปรับปรุงใหม่และห้องพักควรเก็บเสียงและเตียงและหมอนน่าจะสบายกว่า แต่โดยรวมแล้วโรงแรมและการบริการดีเยี่ยมและพนักงานดีมาก เป็นกันเองและช่วยเหลือดี ข้อความเดิม แปลโดย Google,3.7
53,บริการดีและพนักงานเป็นกันเอง ไปได้ทุกที่ โดยเฉพาะเดอะมอลล์ ข้อความเดิม แปลโดย Google,4.2
54,ทำเลดีมาก ไม่ไกลจากสถานีรถไฟใต้ดินสายสนามบินและ mrt ทำเลสะดวกมาก แต่สภาพแวดล้อมเสียงดังไปหน่อย มอไซค์ รถเมล์ รถตุ๊กๆ ข้างนอกเสียงดังมากต้องใส่ที่อุดหูนอน สุขอนามัยสะอาดมากและบริการดี ข้อความเดิม แปลโดย Google,4.5
55,เมื่อคุณนอนแล้วคุณจะไม่สามารถทำ ทำให้มีเสียงดังจากถนนใหญ่ ฉันได้ยินเสียงจากรถมอเตอร์ไซค์และรถยนต์ และไม่มีระเบียงและห้องมืดในห้อง ฉันเห็นแมลงบางมด แต่ราคาถูกมากสำหรับฉัน ข้อความเดิม แปลโดย Google,2.0
56,สถานที่ตั้งสะดวกมาก. มีอาหารข้างทางมากมายอยู่รอบๆ 500 เมตร จากป้ายรถเมล์หน้าโรงแรม ภาพทั้งหมดเป็นสิ่งที่ดี ห้องสะอาด พื้นเป็นไม้อย่างดี พนักงานน่ารักมาก สุภาพ. จะกลับมาพักอีกสำหรับทริปหน้า ข้อความเดิม แปลโดย Google,4.5
