,Review,Rating
0,โรงแรมเก่าแก่ แต่ดูแลรักษาดี บรรยากาศสงบ ปลอดภีย เดินทางสะดวกเชื่อมกับ bts ราชเทวี รอบข้างมีร้านอาหารหลากหลาย ภายในห้องสะอาด มีเครื่องใช้ในห้องน้ำพร้อม ไม่มีไดเป่าผม อินเตอร์เน็ตช้า อาหารรสชาติกลางๆ ทานได้ทุกไว สำหรับผู้ที่นำรถมามีอาคารจอดรถแยกต่างหาก พื้นที่ตอดมากมาย โดยรวมแล้วคุ้มค่ากับราคาครับ มีสระว่ายน้ำ ห้องออกกำลังด้วยนะ,4.7
1,ประทับใจมากค่ะ พนักงานทุกคนบริการดีมากๆ แถมห้องก็สวยสะอาด ถ้ามีโอกาสจะกลับมาใช้บริการอีกแน่นอนค่ะ,4.7
2,Asia Hotel Bangkok มีทางเชื่อมกับสถานีรถไฟฟ้าบีทีเอสราชเทวีโดยตรง ให้บริการสระว่ายน้ำกลางแจ้ง และห้องอาหาร 6 แห่ง โรงแรมที่พักใจกลางเมือง ใกล้รถไฟฟ้า ห้องอาหารและแผนกจัดเลี้ยง เป็นที่นิยมของคน สะดวกแก่การเดินทางไปสถานที่ต่างๆใน กทม.,4.0
3,ดีค่ะทำเลที่พักดีมาก สะดวกในการเดินทาง ไม่เดี่ยวก็ดีครอบครัวก็ดีค่ะ,4.7
4,เป็นโรงแรมเก่าที่ 5 ดาว และรักษามาตราฐานได้ดีเลยค่ะ ด้วยความใกล้เมือง ใกล้แหล่งท่องเที่ยวกรุงเทพ สุดฤทธิ์ดีมากค่ะ ชั้น 2 ของโรงแรมมี BTS สะดวกมากค่ะ ไม่ได้ซื้ออาหารเช้า ไม่ได้ใช้บริการค่ะเพราะปกติ ตื่นสายและรีบไปทำธุระ ตกเย็นก็แวะทานอาหารก่อนเข้ามา เลยไม่ได้ใช้สระว่ายน้ำ โดยรวมคือดีค่ะ ด้านล่างมี ร้านขายของฝาก ช่วงนี้คนเวียดนามเยอะมากค่ะ,5.0
5,มาพักกับแฟน ที่พักติดบีทีเอสราชเทวี สะดวกมาก ใกล้สยาม อาหารอร่อย,4.0
6,มาพักที่นี่ 3 ครั้งแล้ว ประทับใจทุกครั้งค่ะ แนะนำเลย โรงแรมอยู่ติดกับ bts ราชเทวี เดินทางสะดวกมาก / การบริการดีมากค่ะ มีบริการทำความสะอาดห้องพักให้ด้วย พนักงานบริการดี สุภาพมากค่ะ แล้วที่สำคัญห้องพักกว้างขวาง โรงแรมสะอาดด้วย,5.0
7,ดีและ สะอาดมากๆเลยคับ มีโอกาศครั้งหน้าจะแวะมาอีกแนะนอนครับผม,5.0
8,ที่พักดีมากติดBTSเดินทางสะดวกสบาย ห้องพักสะอาดบรรยากาศดี,5.0
9,ดีมากถูกใจที่สุด ห้องพักตรงปก,5.0
10,โรงแรมเก่าแก่ แต่ดูแลรักษาดี บรรยากาศสงบ ปลอดภีย เดินทางสะดวกเชื่อมกับ bts ราชเทวี รอบข้างมีร้านอาหารหลากหลาย ภายในห้องสะอาด มีเครื่องใช้ในห้องน้ำพร้อม ไม่มีไดเป่าผม อินเตอร์เน็ตช้า อาหารรสชาติกลางๆ ทานได้ทุกไว สำหรับผู้ที่นำรถมามีอาคารจอดรถแยกต่างหาก พื้นที่ตอดมากมาย โดยรวมแล้วคุ้มค่ากับราคาครับ มีสระว่ายน้ำ ห้องออกกำลังด้วยนะ,4.7
