,Review,Rating
0,อยู่ติดรถไฟฟ้า มีร้านสะดวกซื้อ7-11 มีร้านกาแฟ ร้านอาหารญี่ปุ่น และมีร้านอาหารอีสานยามเย็นๆค่ำๆ เดินทางไปสยามได้แบบง่ายๆ,3.7
1,โรงแรมสะอาด บริการดีมาก เดินทางสะดวก ใกล้สถานที่สำคัญๆ,5.0
2,ห้องสะอาด แม่บ้านน่ารักมากค่ะ เวลามาทำงานที่กรุงเทพมาพักที่นี่ตลอดเลยค่ะ ชอบโรงแรมนี้มาก ๆ ใกล้รถไฟฟ้า ไปเดินพารากอนก็ง่ายค่ะ,5.0
3,โรงเเรมอยู่ใกล้ร้านสะดวกซื้อพนักงานบริการดีมากๆแล้วก็ห้องพักสะอาดสิ่งอำนวยความสะดวกครบครัน โรงเเรมหาไม่ยากเดินทางสะดวก ปลอดภัย ชอบมากๆๆค่ะ,5.0
4,เป็นโรงแรมที่ดีอีกแห่งในย่านใจกลางเมือง สถานที่สะอาดพนักงานสุภาพบริการด้วยไมตรีจิตที่ดี อาหารเช้ามีหลากหลายเมนูให้เลือกทาน การเดินทางสะดวกใกล้รถไฟฟ้าและรถเมล์ประจำทาง มีร้านอาหารฟู๊ดคอร์ทตรงหน้าทางเข้าโรงแรม ห้องพักสะอาดดีเยี่ยม,5.0
5,โรงแรมดีมาก แบ่งเป็นสัดส่วน ห้องน้ำดี คุ้มค่ามากกับราคาที่ต้องจ่ายไป แต่เสียดายที่ทีวีเก่าไปหน่อย ทำให้ใช้ยาก คุ้มค่ามากกับการจอง ถ้ามีโอกาสจะกลับไปพักอีกครั้ง,4.2
6,เมื่อก่อนที่ไปกรุงเทพทุกครั้งจะพักที่นี้ แต่ต่อไปที่นี้คือตัวเลือกสุดท้ายในการเข้าพัก จองห้องธรรมดาไป 3 คืน แต่พนักงานอัพเกรดให้เป็นone bedroom คิดว่าใจดีที่ไหนได้ พนักงานต้อนรับโทรเข้าเบอร์ห้องแต่เช้ายังไม่ทันตื่น แจ้งให้ย้ายห้องบอกห้องไทน์ที่อัพเกรดให้วันนี้เต็ม ให้เราย้ายไปห้องธรรมดาตามที่จองมา คือ ไม่มีมารยามขั้นสุด โทรตั้ง 7 โมงกว่า เพื่อให้ลูกค้าย้ายห้อง ที่อัพเกรดให้ก็คงเพราะเราไปเช็คอินดึก ห้องไทน์เราลูกค้าคง walk in เต็ม แต่ไม่ควรเสียมารยาทกับลูกค้าแบบนี้ ห่วย มาก พอแจ้งทำไมโทรมาปลุกตั้งแต่เช้า แจ้งว่าปกติลูกค้าที่เข้าพักที่นี้จะเป็นข้าราชการจะตื่นกันแต่เช้า คิดได้ยังไง แสดงว่าลูกค้าที่เป็นเจ้าของกิจการ พนักงานบริษัท ไม่ใช่ข้าราชการเข้าพักที่นี้ไม่ได้เหรอ ย้ำอีกครั้งพนักงานต้อนรับทำงานแบบขาดมารยาทสุดๆ มีประโยชน์,2.7
7,ชอบการให้บริการของพนักงานน่ารัก สถานที่ตั้งสะดวกต่อการเดินทางมากวิวดีค่ะ,4.2
8,รอบล่าสุดที่ไปเข้าพักคือแขกค่อนข้างเยอะ แต่ทุกอย่างโอเค มาใช้บริการที่นี่บ่อยเพราะเดินทางไปสยามสะดวกมาก ไปกลับ BTS เดินไม่ไกลเลยค่ะ,5.0
9,โรงแรมโอเครมากมีbtsให้ขึ้นใกล้แต่โรงแรมเก็บค่ามัดจำห้อง1000แบบไม่แจ้งร่วงหน้าไม่มีเงินสดโอนก็ไม่ได้ให้เดินไปกดหน้า 7-11 แทน แบบไม่พอใจมากกบริการก็ไม่เท่าไหร่ช้าในการเช็คอินราคาห้องถูกพอใช้ได้,3.7
