,Review,Rating
0,ที่พักติด bts สนามกีฬาแห่งชาติเลยค่ะมองมาก็เห็นเลย สะดวกสบายมาก พนักงานก็ถือว่าอยู่ในเกณฑ์ดีอยู่ค่ะ ห้องพักขนาดพอดี(เราเข้าพักคนเดียว) แต่ห้องไม่ค่อยเก็บเสียงข้างห้องเปิดปิดประตูเราได้ยินหมด มีเสียงก็อกๆแก็กๆทำให้เรานอนไม่ค่อยหลับ เตียงนุ่มดีค่ะ ห้องที่เราได้วิวค่อนข้างดีมองเห็นmbkกับsiam ถ้าเดินไปก็เดินได้แบบสบายๆเลย โดยรวมดีค่ะให้ 4/5🙂,4.5
1,ห้องพักอยู่หน้าสถานี BTS เลยค่ะ สะดวกในการเดินทางมากเลยค่ะ,4.5
2,บริการดีค่ะ รวดเร็วทันใจ สะอาด สะดวกเดินทาง,5.0
3,สะดวกมาก ติด bts มาจากสนามบิน นั่งรถไฟเรลลิงค์สะดวกมาก ห้องพักสะอาด ส่วนตัวปลอดภัย ต้องมาที่นี่ตลอด ใกล้สถานนที่ชอปปิ้งหลายแห่ง อาหารหาทานง่ายมาก,5.0
4,เป็นการกละมาพักครั้งที่สองในที่นี่ การบริการ และ สิ่งต่างๆก็ยังทำได้ดีเหมือนครั้งแรกที่มา,5.0
5,โรงแรมดีมากค่ะ ราคาก็ไม่แพง ใครไปกรุงเทพก็จองที่นี่ให้ตลอดค่ะ ใกล้บีทีเอสด้วยค่ะ,5.0
6,จองกับทริปแล้วโอเคราคาตามนี้ไม่มีบวกเพิ่ม(มีค่าประกันห้อง500บาท) ส่งคำขอพิเศษไป2คำขอ ทริปตอบกลับได้อย่างรวดเร็ว เข้าพักได้ง่าย พักที่นี่ติดBTS เลย ห้องพักขนาดพอดีกับคนตัวเล็ก2คนอยู่ได้ไม่อึดอัด มีประโยชน์,4.0
7,โรงแรมนี้มาครั้งที่สองแล้ว เดินทางสะดวกอยู่ใจกลางเมือง ติดกับสถานีบีทีเอส เดินลงบันไดมาถึงโรงแรมเลย พี่ๆพนักงานดูแลดีมาก สิ่งอำนวยความสะดวกครบครัน ปลอดภัย สะอาด ไร้กังวล ถูกใจกับที่นี่มาก วิวหน้าต่างสวย มองเห็นรถบีทีเอสวิ่งผ่าน กลางคืนยิ่งสวย เห็นแสงสีในเมืองกรุงแบบกว้างมาก ถ้ามีโอกาสจะมาพักที่นี่อีกแน่นอน ขอบคุณที่คอยดูแลนะคะ,5.0
8,ดีมากกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกก,5.0
9,ทำเลติดบีทีเอส สนามกีฬา เดินทางสะดวก ข้างล่างมี 7-11 ห้องพักสะอาด อาหารเช้าดี มีประโยชน์,5.0
10,ที่พักติด bts สนามกีฬาแห่งชาติเลยค่ะมองมาก็เห็นเลย สะดวกสบายมาก พนักงานก็ถือว่าอยู่ในเกณฑ์ดีอยู่ค่ะ ห้องพักขนาดพอดี(เราเข้าพักคนเดียว) แต่ห้องไม่ค่อยเก็บเสียงข้างห้องเปิดปิดประตูเราได้ยินหมด มีเสียงก็อกๆแก็กๆทำให้เรานอนไม่ค่อยหลับ เตียงนุ่มดีค่ะ ห้องที่เราได้วิวค่อนข้างดีมองเห็นmbkกับsiam ถ้าเดินไปก็เดินได้แบบสบายๆเลย โดยรวมดีค่ะให้ 4/5🙂,4.5
11,ห้องพักอยู่หน้าสถานี BTS เลยค่ะ สะดวกในการเดินทางมากเลยค่ะ,4.5
12,บริการดีค่ะ รวดเร็วทันใจ สะอาด สะดวกเดินทาง,5.0
13,สะดวกมาก ติด bts มาจากสนามบิน นั่งรถไฟเรลลิงค์สะดวกมาก ห้องพักสะอาด ส่วนตัวปลอดภัย ต้องมาที่นี่ตลอด ใกล้สถานนที่ชอปปิ้งหลายแห่ง อาหารหาทานง่ายมาก,5.0
14,เป็นการกละมาพักครั้งที่สองในที่นี่ การบริการ และ สิ่งต่างๆก็ยังทำได้ดีเหมือนครั้งแรกที่มา,5.0
15,โรงแรมดีมากค่ะ ราคาก็ไม่แพง ใครไปกรุงเทพก็จองที่นี่ให้ตลอดค่ะ ใกล้บีทีเอสด้วยค่ะ,5.0
16,จองกับทริปแล้วโอเคราคาตามนี้ไม่มีบวกเพิ่ม(มีค่าประกันห้อง500บาท) ส่งคำขอพิเศษไป2คำขอ ทริปตอบกลับได้อย่างรวดเร็ว เข้าพักได้ง่าย พักที่นี่ติดBTS เลย ห้องพักขนาดพอดีกับคนตัวเล็ก2คนอยู่ได้ไม่อึดอัด มีประโยชน์,4.0
17,โรงแรมนี้มาครั้งที่สองแล้ว เดินทางสะดวกอยู่ใจกลางเมือง ติดกับสถานีบีทีเอส เดินลงบันไดมาถึงโรงแรมเลย พี่ๆพนักงานดูแลดีมาก สิ่งอำนวยความสะดวกครบครัน ปลอดภัย สะอาด ไร้กังวล ถูกใจกับที่นี่มาก วิวหน้าต่างสวย มองเห็นรถบีทีเอสวิ่งผ่าน กลางคืนยิ่งสวย เห็นแสงสีในเมืองกรุงแบบกว้างมาก ถ้ามีโอกาสจะมาพักที่นี่อีกแน่นอน ขอบคุณที่คอยดูแลนะคะ,5.0
18,ดีมากกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกก,5.0
19,ทำเลติดบีทีเอส สนามกีฬา เดินทางสะดวก ข้างล่างมี 7-11 ห้องพักสะอาด อาหารเช้าดี มีประโยชน์,5.0
20,โรงแรมอยู่ติดบีทีเอสเดินทางสะดวกมีร้านสะดวกซื้ออยู่ด้านล่างของโรงแรมสะดวกดีค่ะพนักงานบริการดีห้องพักสะอาดโรงแรมอยู่ใกล้มาบุญครองกับสยาม มีประโยชน์,5.0
21,โรงแรมอยู่ใจกลางสยาม ติดสถานีรถไฟฟ้าสนามกีฬาแห่งชาติ เดินทางสะดวกสุดๆ รายล้อมด้วยแหล่งช้อปปิ้งมากมาย ด้านล่างมีร้านสะดวกซื้อ สะดวกไปอีก ห้องพักค่อนข้างแคบ ทีวีจอเล็กไปหน่อย อุปกรณ์ในห้องน้ำมีเพียงสบู่เหลวกับหมวกคลุมผม โดยรวมก็โอเคดี พนักงานบริการดี เหมาะสำหรับไว้พักค้างคืนเวลาไปเที่ยวและช้อปปิ้ง,4.0
22,ราคาดี อยู่ใกล้ห้าง เดินเที่ยวสะดวกมากๆ ห้องสะอาด นอนสบาย โดยรวมคือคุ้มค่า คุ้มราคามากๆค่ะ วันเช็คเอ้าท์แล้ว สามารถฝากกระเป๋าไปเดินเที่ยวต่อได้อีก แนะนำสำหรับคนที่มาทำธุระ ย่านใจกลางเมืองคือดีมากๆเลยค่ะ มีประโยชน์,4.7
23,ดีมากๆ อาหารก็อร่อย สะดวกมากด้วย ชอบค่ะ คุ้มมากกกก,5.0
24,ที่พักดี สิ่งอำนวยความสะดวกดี บริการดีเยี่ยมห้องพักสะอาดเเละเตียงนอนสบายมาก โรงเเรมมีความเป็นส่วนตัวเเละปลอดภัยมาก มีประโยชน์,5.0
25,เดินทางสะดวก ใกล้บีทีเอสสนามกีฬา 500 ม.ถึงสยาม ห้องสะอาดได้มาตรฐาน มีประโยชน์,5.0
26,วิวสวย ที่พักดี สะอาด เตียงนุ่มสบาย พนักงานบริการดี เสียอย่างเดียวไม่มีปลั้กไฟใกล้หัวเตียงชาร์จแบตโทรศัพท์ยาก มีประโยชน์ (1),4.0
27,สะดวกต่อการเดินทางดีครับ ห้องพักสะอาด ขนาดเล็กไปนิดนึง แต่ภาพรวมถือว่าดีครับ มีประโยชน์,4.2
28,ห้องน้ำเล็กมากก ใช้งานแล้วอึดอัด ห้องพักก้อเล็ก แต่เตียงนุ่ม ห้องพักเงียบเก็บเสียงได้ดี ห้องพักสะอาด มีประโยชน์,3.5
29,พนักง่นจัดการการcheck in outได้รวดเร็วดี ข้อติ แม่บ้าน การทำความสะอาดบกพร่อง และไม่เก็บขยะ เปลี่ยนน้ำดื่มให้ มีประโยชน์,3.0
30,โรงแรมติดสถานี BTS สนามกีฬา เดินทางสะดวกสบายมาก ห้องพักราคาดี แต่ขนาดของห้องเล็กไปนิดหน่อย โดยเฉพาะห้องอาบน้ำแคบมากจริงๆ เตียงนอนนุ่ม หลับสบาย แต่ควรมีหมอนสำรองในห้องเพิ่มเติมเผื่อลูกค้าที่นอนหมอนสูง เพราะหมอนนุ่มจนแฟบลงไปถึงเตียง,4.0
31,ก็โอเคนะคะ เก็บเสียงดีค่ะ ชั้นล่างของโรงแรมมีเซเว่น มีประโยชน์,4.7
32,สะดวก ใกล้ mbk สยาม แค่เดินเท่านั้น แต่ห้องน้ำมันแคบไปหน่อยเท่านั้น แต่ก็ประหยัดเงินในกระเป๋าไปได้เยอะในทริปนี้,4.2
33,ที่พักดีงามมากค่ะ ใช้ส่วนลดของทริปได้อีก คุ้มมาก อยู่ใจกลางเมือง เดินทางสะดวกด้วย ประทับใจค่ะ,5.0
34,ในการเข้าพักครั้งนี้ค่อนข้างประทับใจพนักงานดูแลดีครับและอยากกลับไปพักอีกถ้ามีโอกาส มีประโยชน์,5.0
35,ดี ต้องไปรอบสอง มีประโยชน์,5.0
36,อบอุ่นประทับใจเสมอค่ะ มีประโยชน์,5.0
37,แคบไปนิด แม้จะอยู่แค่สองคนกับราคาประมาณนี้ มีประโยชน์,4.7
38,พนักงานบริการดี ทำเลอยู่ติดBTS สนามกีฬา แต่ช้อเสียคือคือสบู่และแชมพูในห้องน้ำหมดควรเติมสม่ำเสมอ มีประโยชน์,4.5
39,ห้องน้ำแคบนิดหน่อย ที่เหลือดีหมด สุดยอดมากๆ มีประโยชน์,4.7
40,จองใน trip.com ประหยัดมากๆ จองไว จองง่ายมากๆ ที่พักสะอาด เงียบ สงบ ใกล้กับบีทีเอสสนามกีฬาแห่งชาติ เดินทางสะดวก มีประโยชน์,5.0
41,สะดวกค่ะ ใกล้รถไฟฟ้า มีประโยชน์,5.0
42,ใกล้รถไฟฟ้า bts ใกล้ห้างสรรพสินค้า ห้องน้ำเล็กไปหน่อย มีประโยชน์,3.2
43,เดินลงมาจากbts เข้าที่พักได้เลยใกล้มากกก มีประโยชน์,5.0
44,สะอาด มีเซเว่นข้างล่าง มีประโยชน์,5.0
45,โลเคชั่นใจกลางเมือง ห้องสะอาด มีประโยชน์,5.0
46,ดีพอใช้ครับผม มีประโยชน์,4.0
47,ห้องไม่เล็กและกว้างขวางมากสำหรับนักเดินทางคนเดียวอย่างฉัน ยังโชคดีที่ได้ชั้นบนสุดพร้อมวิวเมืองที่สวยงาม เงินฝากเป็นจำนวนมาก 2000 บาทแม้ว่า น้ำฝักบัวดี แต่อุณหภูมิอาจไม่คงที่ สุจริตไม่คาดหวังว่าโรงแรมนี้จะอยู่ในทำเลที่ยอดเยี่ยมเช่นนี้! อยู่ตรงข้ามมาบุญครองเท่านั้นและยังมีศูนย์การค้าสยามฝั่งตรงข้ามอีก หากคุณเป็นคนตื่นเช้า มีถนนข้าง ๆ ใกล้กับโรงแรมที่มีอาหารริมทางมากมายสำหรับมื้อเช้า และซื้อชานมไทยราคาถูกในราคา 25-30 บาท เซเว่นอีเลฟเว่นที่ล็อบบี้ของโรงแรมเพื่อเติมเต็มความอยากในยามค่ำคืนของคุณ หากคุณเต็มใจที่จะเดินสักหน่อย Donki ที่ศูนย์ MBK ก็ทำได้เช่นกัน ลงมาจากมาบุญครองผ่านจุฬาฯ มีห้าง Decathlon ด้วย! การเดินทางไปยังสถานที่ยอดนิยมอื่น ๆ จากสถานที่นี้ค่อนข้างถูกเกินไป โดยปกติแล้วราคาไม่เกิน 200 บาทไปยังสถานที่เช่น Jodd fair เยาวราช เอเชียทีค เซ็นทรัลเวิลด์และบิ๊กซียังอยู่ในระยะทางที่เดินไปได้ด้วยสะพานเชื่อม แสดงเพิ่มเติม ข้อความเดิม แปลโดย Google,5.0
48,พนักงานที่เป็นมิตรมาก พวกเขาดีมากที่ให้เค้กวันเกิดในวันเกิดของฉัน ทำเลที่ตั้งสะดวกมาก หากคุณสามารถเดินได้ค่อนข้างดี ไม่จำเป็นต้องขึ้นรถไฟฟ้าซึ่งอยู่ติดกับโรงแรมเพื่อไปยังสยามซึ่งเป็นแหล่งช็อปปิ้ง ข้อความเดิม แปลโดย Google,4.5
49,โลเคชั่นของโรงแรมสะดวกมาก เห็นโรงแรมทันทีที่ออกจากสถานีรถไฟใต้ดิน มีแหล่งช๊อปปิ้ง และอาหารมากมายใกล้ๆ คราวหน้าจะมากรุงเทพเลือกโรงแรมนี้เลยคุ้มมาก คุ้มค่า! ข้อความเดิม แปลโดย Google,3.5
50,ทำเลที่ตั้งดีมาก ห้องเล็กไปหน่อย แต่ก็ยังโอเค จะไปอีกครั้ง ข้อความเดิม แปลโดย Google,4.5
51,ทำเลดี ใกล้สถานีรถไฟฟ้ามาก สามารถเดินไปย่านสยามได้เช่นกัน ข้อความเดิม แปลโดย Google,4.5
52,ทำเลที่ตั้งดีเพราะติด bts ข้างโรงแรม ล็อบบี้ของโรงแรมคือ 7 eleven มันค่อนข้างสะดวกถ้าคุณรู้สึกหิวหรือกระหายน้ำ ข้อความเดิม แปลโดย Google,5.0
53,ทำเลดีมาก ติด BTS สนามกีฬาแห่งชาติ ตรงข้ามคือมาบุญครองและโลตัสอยู่ไกลออกไปz การคมนาคมทำให้ชีวิตง่ายต่อการเดินทาง โรงแรมสะอาดและมี 7-11 ตรงล็อบบี้ ข้อความเดิม แปลโดย Google,5.0
54,ที่ตั้งอยู่ใกล้กับ BTS สนามกีฬาแห่งชาติและสามารถเดินไปยัง jeh o chula ยอดนิยมได้! โปรดทราบว่าโรงแรมไม่มีแปรงสีฟันและยาสีฟัน/ หวี/ เครื่องโกนหนวดให้บริการ! ข้อความเดิม แปลโดย Google,4.5
55,พนักงานที่เคาน์เตอร์มีความสุภาพและเป็นมิตร พนักงานห้องแต่งหน้าบริการดีค่ะ ห้องเล็กไปหน่อยแต่ก็ยังโอเค แรงดันน้ำไม่สามารถทำได้ ดันไม่แรงพอ เครื่องทำน้ำอุ่นน้ำร้อนกะทันหันแล้วน้ำเย็นกะทันหัน ไม่สามารถปรับอุณหภูมิของน้ำได้ตามต้องการ ทีวีมีขนาดเล็กน้อยกว่า 32” ไม่มีเสียง. ปรับระดับเสียงให้ดังที่สุดยังไม่มีเสียง จบลงด้วยการปิดมัน วิวก็ดี ใกล้ BTS สนามกีฬาแห่งชาติ ตรงข้ามห้างมาบุญครอง ข้อความเดิม แปลโดย Google,5.0
56,เช็คอินช่วงบอลโลกถามพนักงานต้อนรับว่าบอลโลกช่องไหนถ่ายทอด บริกรไม่ทราบ แต่พวกเขาพยายามอย่างดีที่สุดเพื่อตรวจสอบตารางเวลาและคำตอบขนาด A4 แต่น่าเสียดายที่พวกเขาให้ข้อมูลผิดทั้งหมด ข้อความเดิม แปลโดย Google,3.2
57,โรงแรมตั้งอยู่ในสถานที่ที่ดีที่สุดในการไปสถานที่ต่างๆ ฉันคิดว่าห้องสะอาดและเพียงพอถ้าคุณแค่นอน มีมาบุญครองและทาคาชิมายะอยู่ใกล้ ๆ จึงไม่มีความไม่สะดวกในการช้อปปิ้ง ข้อความเดิม แปลโดย Google,3.5
58,โรงแรมตั้งอยู่ในใจกลางกรุงเทพฯโดยมีรถไฟฟ้าอยู่หน้าประตูและมีห้างสรรพสินค้าที่มีชื่อเสียงมากมายเช่น Central และ Patek Palace การคมนาคมสะดวกมาก อาหารเช้าของโรงแรมก็ดี บริการอบอุ่น แต่ห้องเล็กและเปิดหน้าต่างไม่ได้ ข้อความเดิม แปลโดย Google,4.0
59,โลเคชั่นโอเค มี 7+11 ชั้นล่าง ห้องน้ำเล็กไปหน่อย วันแรกที่เข้าพักไม่มีน้ำแร่ให้ ไม่รู้จะโทรไปเบอร์ไหน คนไม่พูดอังกฤษลำบากหน่อย คนอื่นมีความเห็น ข้อความเดิม แปลโดย Google,3.0
