,Review,Rating
0,จะกลับไปพักอีกแน่นอนคะ ถ้าได้แวะไป กรุุงเทพฯ หัองพักใหญ่มาก ทำเลดี เหมาะกับการช๊อปปิ้ง และชอบการต้อนรับจากพนักงานที่ดีเยี่ยม 👍🏻,8.5
1,รอเช็คอินนานมาก ไม่ประทับใจพนักงานต้อนรับผู้ชายน่าจะเป็นต่างชาติ บริการแย่มาก ผิดหวัง ส่วนพนักงานคนอื่นอื่นโอเคนะ ห้องพักกว้าง ห้องน้ำกว้างมาก ส่วนบุฟเฟ่โอเคค่ะ,8.4
2,ตอนแรกได้ห้องเก่าและเหม็น ไม่ตรงตามที่จองไว้ แต่าพนักงานเปลี่ยนห้องให้ พอรับได้ วิวสวย แต่ควรปรับปรุงห้องให้ดี จะน่าพักมากกว่านี้,6.4
3,ห้องใหญ่กว้างมาก แบ่งเป็นโชนดีมาก,8.5
4,ห้องสวย สะอาด ราคาไม่แพง วิวสวยรอบด้านค่ะ,8.5
5,ห้องสะอาดมาก ห้องใหญ่กว้างมาก ชอบๆ,8.8
6,ดีมากๆ ชอบค่ะ มีโอกาสจะไปอีกครั้งคุ้มราคา,10
7,ห้องพักสะอาด ราคาไม่แพง อาหารใช้ได้,8.5
8,พนักงานบริการดี พูดจาสุภาพ ห้องกว้าง สะอาด,10
9,พนักงานบริการดีมากๆ ทุกอย่างดีมากๆ ต้องกลับมาพักอีกหลายๆ ครั้ง,10
10,พนักงานต้อนรับที่ทำการ check in อยู่หน้าเคาน์เตอร์ควรจะยิ้มบ้าง งานบริการ,5.7
11,ห้องดี วิวสวย ใกล้ที่ช้อป พนักงานบริการดี พูดจาไพเราะ ☺️👍🏼,8.5
12,ห้องนี้เหมือนรูปที่จองไว้ สะอาด จะกลับมาใช้บริการอีกในไม่ช้า ราคาก็ประทับใจค่ะ,9.7
13,ดีมากค่ะ พนักงานบริการดี ห้องพักกว้างขวาง,9.1
14,พนักงานสุภาพเรียบร้อยให้บริการเป็นอย่างดี,8.5
15,แต่ห้องน้ำเหม็น ได้ห้องมุม ติดห้องแม่บ้านทำความสะอาด,9.1
16,ดีจริง เทรนพนักงานมาดีมากครับ โดยรวมชอบครับ,8.5
17,ห้องพักกว้างที่นอนหลับสบายไม่ปวดหลังอาหารเช้ามีให้เลือกเยอะดี,8.5
18,มันโอเคมากเลยอ่ะ ดูแลเทคแคร์ดี,9.1
19,ดีมากค่ะ. ราคาไม่แพง บริการดีงาม,8.5
20,การบริการดีมาก ห้องพักก็โอเค วิวสวย,8.5
21,ห้องสะอาด ที่นอนอุ่นดี นุ่มนวล บริการดีมาก,8.2
22,พนักงานบริการดีมาก วิวสวย อยู่ในย่านการค้า ชอบครับ,9.7
23,สวยมากครับ พนักงานดูแลดี ตลอดเส้นทางครับ ชอบๆ,8.5
24,ห้องพักเก่าไปหน่อยครับ ทำให้ใีกลิ่นอับ เหมือนไม่สะอาด,6
25,โรงแรมค่อนข้างเก่านิดนึง แอร์เย็นช้า ม่านเก็บแสงไม่มิดตอนเช้า,6.1
26,บริการดี ทุกอย่าง สามารถเรียกได้ตลอด24ชม.,8.5
27,ประทับใจตั้งแต่เดินลงจากรถเลยค่ะ ทุกคนบริการดีมาก โรงแรมสวย ห้องสวย วิวคือที่สุด บุฟเฟ่ต์ก็อร่อย,10
28,พนักงานบริการดีมาก ห้องกว้างและสะอาด,9.7
29,พนักงานบริการดีมาก ห้องนอนดีบรรยากาศดีมาก,9.7
30,เป๊ะ! ทุกรายละเอียดการออกแบบ ยิ่งนานยิ่งแตกต่าง อบอุ่น หนักแน่นคงทน สวยงามจนน่าอัศจรรย์ใจ ชอบที่นี่จังค่ะ,9.7
31,พนักงานตอนรับดีมากตั้งแต่หน้าโรงแรมถึงล็อบบี้ค่ะ ห้องดีวิวเริ่ดมากแม่,9.7
32,ห้องพักดี คุ้มราคา พนักงานอัพเกรดเวลคัมดริ้งให้ไปชั้น 83 คือดีมากก จุดชมวิวชั้น 84 ก็คือดี เสียดายเวลาน้อยไป เลยไม่ได้ทานอาหารเช้า พนักงานคือบริการดีมาก ทุกจุดค่ะ ประทับใจ ไว้จะไปพักอีกค่ะ,10
