,Review,Rating
0,ดีทุกอย่าง เว้น กล่องคอนโทรลไฟพัง ทีวีเชื่อมต่อมือถือไม่ได้ ไม่มี เน็ตฟลิก,9
1,ไม่สมราคา ใครเป็นภูมิแพ้ไม่แนะนำ ราคานี้หาที่อื่นนอนค่ะ แต่ต้องขอชมการแก้ไขของทางโรงแรม ข้อดีคือ ใกล้แหล่งของกิน แหล่งเสริมสวยมาก และห้องกว้างค่ะ มีพนักงานคอยช่วยคนของและพอแจ้งเรื่องห้องฝุ่นเยอะ ทางโรงแรมส่งคนมาทำความสะอาดให้เลยทันที แต่มันยิ่งกลายเป็นฝุ่นมาฟุ้งลงที่เตียงแทน วันที่ 2 ที่นอน โรงแรมเลยย้ายห้องให้ ดีขึ้นแต่ฝุ่นก็ยังเยอะอยุ่ดี ข้อเสีย สภาพห้องเก่าแล้ว ของในห้องโทรมหมดแล้ว ฝุ่นเยอะมากจิงๆ ต่อให้ย้ายห้องฝุ่นก็ยังเยอะ ควรปรับปรุงอย่างมาก ไม่สมราคา,5.6
2,ห้องพักดี สะอาด สวย ทันสมัย แต่อาหารเช้าน้อย คิดว่าเป็นบุฟเฟ่ เสริฟให้แค่คนละเซต ไม่หลากหลาย แต่รูปที่โปรโมทในแอพ คือมีเหมือนบุฟเฟ่ ที่จองเพราะเข้าใจว่าเป็นบุฟเฟ่ ถ้าไม่มีโปรดนำรูปโปรโมทออกด้วยค่ะ ลูกค้าเข้าใจผิดแล้วจะเสียความรู้สึก,8.7
3,ห้องสวยมาก วิวดีมาก มีอ่างอาบน้ำบริการ ห้องน้ำสวยและสะอาดมาก มีความเป็นส่วนตัวดีมาก เงียบ สงบ และราคาไม่แพง ไว้มีโอกาสจะกลับไปพักอีกแน่นอนค่ะ,9.7
4,แอร์ไม่เย็น ตู้เย็นไม่ ชักโครกกดไม่ลง,6.7
5,ชอบครับ พนักงานต้อนรับดีมากครับ โรงแรมห้องกว้าง มีอ่างอาบน้ำในห้อง ครับ,8.5
6,ดีมาก นอนสบาย คุ้มมาก เตียงนุ่มสุดๆ,8.5
7,ดีมากๆครับ เเนะนำ เพราะ โรงเเรมอยู่กลางเมือง อาหารเช้า อรอ่ย เเละ เดินทางสะดวก,8.8
8,ห้องสวยมากครับ. บริการดี อาหารอร่อยครับ,8.5
9,ประทับใจ. ทุกอย่าง Perfect ตั้งแต่เดินเข้าไป. พนักงานน่ารัก ห้องใหม่สวยสะอาด. ทำเลใกล้รถไฟฟ้า ของกินหาง่าย. มีโอกาสกลับไปอีกแน่นอน. 😍,9.4
10, ทุกอย่างโดยรวมของโรงแรมดีมากครับ ราคาสมกับที่พักมากครับ ผมไม่ได้ใช้บริการไรมากนักของโรงแรมรวมถึงอาหารเพราะตื่นสาย เพราะตั้งใจไปเที่ยวจริงๆ แต่ได้ไปเดินดูทุกที่ของโรงแรม รวมถึงบาร์สกายวิว และสระน้ำ ห้องพัก ห้องน้ำ ห้องอาหาร สถานที่ สะอาด สงบ และเหมาะแก่การพักผ่อนมากๆครับ เกือบเทียบได้กับโรงแรม5ดาวเลยครับ ผมคิดว่า พนง.ผช รอบดึกเวลาคุยสายกับลูกค้ามีหางเสียงอีกนิด 3ผ่านเลยครับ พนง.ผญ รอบเช้า พูดจาดีน่ารักมากครับ. แน่ะนำเลยครับใครมองหาที่พักดีดี การบริการดีดี สิ่งอำนวยความสะดวกครบครับ ต้องที่นี่เลยครับ เทียบกับโรงแรมในกรุงเทพผมชอบที่นี่มากครับ ครั้งหน้าผมและเพื่อนๆจะกลับไปใช้บริการอีกครับ รอบหน้าจะใช่บริการของโรงแรมให้ครบเลยครับ ขอบคุณที่พักดีดีครับ,9.7
11,ไม่ผิดหวังกับโรงเเรมนี้จริงๆภาพตรงปก บรรยากาศดี ห้องสอาด อาหารอร่อย พนักงานบริการเยี่ยม รู้สึกได้ผ่อนคลายเต็มคุ้มค่ากับราคาที่จ่าย ตอนเเรกจองไว้1คืนเเต่ต้องจองเพิ่มเป็น3คืน จะกลับมาพักอีกเเน่นอน,9.4
12,พนักงานให้ความช่วยเหลือดี ไม่ไกลจาก MRT,9.4
13,ขอบคุณที่ให้เราได้โปรepicsaleในราคาห้องละ550บาทพร้อมอาหารเช้า ห้องพักดีมากๆ ห้องกว้าง สะอาด ควบคุมไฟฟ้าต่างๆด้วยระบบทัชสกรีนทั้งหมด สระว่ายน้ำสวยมาก ทุกอย่างเพอร์เฟค พนักงานก็บริการดี ใกล้รถใต้ดินห้วยขวาง สามารถให้รถกอล์ฟของโรงแรมไปส่งที่รถใต้ดินได้ มีโอกาสจะกลับไปพักอีกแน่นอน,9.7
